	faith_pd
NW001-1	17.53022003540387
NW001-3	18.347087633331995
NW001-4	15.62603558165938
NW002-2	19.3496017931392
NW003-1	18.40072298055688
NW003-2	18.958185311151095
NW003-3	18.909867505845845
NW003-4	18.043435407837443
NW003-5	17.972396827445657
NW005-1	23.072588402414368
NW005-2	22.69922251406517
NW005-3	21.179417341164246
NW005-4	22.144330466280124
NW005-5	22.917501771207576
NW006-1	26.537139033828296
NW006-2	27.03858483897529
NW006-3	30.421026468119933
NW007-1	15.930911962596195
NW007-2	17.14557963592812
NW007-4	15.800845881935896
NW007-5	11.30196758735108
NW007-6	14.16348922862394
NW008-1	20.954434051762917
NW010-2	17.772530673323285
NW010-5	13.138063964700585
NW011-1	21.62250493453125
NW011-2	22.12691449508698
NW011-4	21.502121570226528
NW011-5	22.343307506695687
NW011-6	20.99167500153485
NW012-1	21.987424630602455
NW012-3	24.322206652708285
NW012-4	18.36259549593869
NW012-5	24.399153374786255
NW012-6	22.585831460609295
NW013-1	23.82157890881181
NW013-2	16.528353875790465
NW013-3	18.300414569128165
NW013-4	20.38808622749752
NW013-5	19.53108428319467
NW014-1	18.64946827483605
NW015-1	23.25791514249041
NW015-2	20.763830802939005
NW015-3	21.772087579216315
NW015-5	22.38893663523039
NW015-6	22.925491947932624
NW016-1	19.278224462176524
NW016-2-1	15.891314999164225
NW016-2-2	22.910320177430265
NW016-2-3	14.326857060515515
NW016-3	18.456586667088608
NW016-4-1	17.313528758870966
NW016-4-2	18.413215855735373
NW016-5	16.07704912392447
NW018-1	19.079424987688682
NW018-2	18.579351079869415
NW018-3-1	19.215767396715865
NW018-3-2	16.44482495439555
NW018-4	19.31712416992216
NW018-5	19.54275728829861
NW019-1	22.11495363646747
NW019-2-1	21.37152919154775
NW019-2-2	22.18606215511798
NW019-3	21.69230102849889
NW019-4	22.13597082377281
NW019-5	22.126986264083435
NW020-1	20.061184968101404
NW020-2	18.342764315819103
NW020-3	19.53010362294737
NW020-5	19.949865129107526
NW020-6	19.527445093243696
NW021-3	15.837272143885311
NW022-1	19.425188179521044
NW022-4	22.610931343951442
NW022-5-1	22.47331991588296
NW022-5-2	21.076057228530136
NW022-6	20.16111594045007
