	observed_features
NW001-1	119.0
NW001-3	122.0
NW001-4	99.0
NW002-2	141.0
NW003-1	151.0
NW003-2	173.0
NW003-3	133.0
NW003-4	114.0
NW003-5	134.5
NW005-1	273.0
NW005-2	255.0
NW005-3	202.0
NW005-4	246.0
NW005-5	254.0
NW006-1	217.0
NW006-2	264.0
NW006-3	307.0
NW007-1	101.0
NW007-2	169.0
NW007-4	101.0
NW007-5	107.0
NW007-6	84.0
NW008-1	215.5
NW010-2	137.5
NW010-5	125.0
NW011-1	299.0
NW011-2	331.0
NW011-4	266.0
NW011-5	301.0
NW011-6	253.0
NW012-1	297.0
NW012-3	305.0
NW012-4	158.0
NW012-5	307.0
NW012-6	277.0
NW013-1	255.0
NW013-2	162.0
NW013-3	160.0
NW013-4	206.0
NW013-5	184.0
NW014-1	182.0
NW015-1	204.0
NW015-2	186.5
NW015-3	212.0
NW015-5	221.0
NW015-6	233.5
NW016-1	152.0
NW016-2-1	118.0
NW016-2-2	222.0
NW016-2-3	70.0
NW016-3	128.0
NW016-4-1	107.0
NW016-4-2	129.0
NW016-5	106.5
NW018-1	219.0
NW018-2	200.0
NW018-3-1	199.0
NW018-3-2	107.0
NW018-4	189.0
NW018-5	210.5
NW019-1	201.0
NW019-2-1	168.0
NW019-2-2	200.5
NW019-3	206.0
NW019-4	203.0
NW019-5	196.0
NW020-1	265.0
NW020-2	205.0
NW020-3	229.0
NW020-5	240.0
NW020-6	226.0
NW021-3	98.0
NW022-1	182.0
NW022-4	228.0
NW022-5-1	199.5
NW022-5-2	151.0
NW022-6	195.0
NW023-3	219.0
NW023-4	201.5
NW023-6	178.0
NW025-1	181.0
NW025-2	185.0
NW025-3	153.0
NW025-4	196.0
NW026-1	345.5
NW026-2	197.0
NW026-3	263.0
NW026-4	255.0
NW026-5	255.0
NW027-1	112.0
NW027-2	81.0
NW027-3	99.0
NW027-5	97.0
NW027-6	116.0
NW028-1	157.0
NW028-2	172.0
NW028-3	147.0
NW028-4	175.0
NW028-5	161.0
NW029-1	191.0
NW029-1R	201.0
NW029-2	191.0
NW029-3	182.0
NW029-5	203.0
NW030-1	169.0
NW030-2	156.0
NW030-4	153.0
NW030-5-1	161.0
NW030-5-2	148.0
NW030-6	122.0
NW031-1	192.0
NW031-2	188.0
NW031-3	163.0
NW031-4	164.5
NW031-5	130.0
NW032-1	123.0
NW032-2	77.0
NW032-3	150.0
NW032-4-1	159.0
NW032-4-2	42.0
NW032-4-3	154.0
NW032-5	231.0
NW033-1	120.0
NW033-2	141.5
NW033-3	105.0
NW033-4	46.0
NW033-5	125.0
NW034-1	233.0
NW034-2-1	188.0
NW034-2-2	228.5
NW034-3	191.0
NW034-4	230.0
NW034-5	208.0
NW035-1	224.0
NW035-2	208.0
NW035-4-1	223.0
NW035-4-2	210.0
NW035-5	223.0
NW036-1	149.0
NW036-2	158.0
NW036-3	205.0
NW036-4	209.0
NW036-5	200.0
NW038-1	275.0
NW038-2	283.0
NW038-3	275.0
NW038-4	304.5
NW038-5	277.0
NW040-1	228.0
NW040-2-1	298.0
NW040-2-2	287.0
NW040-3	214.5
NW041-1	185.0
NW041-2	235.0
NW042-1	211.0
NW042-3	216.0
NW042-4	193.0
NW042-5	197.0
NW043-1	284.0
NW043-3	199.0
NW043-4-1	280.0
NW043-4-2	261.0
NW043-6	277.0
NW044-1	240.0
NW045-1	188.0
NW045-2	169.0
NW045-3	256.5
NW045-4-1	260.0
NW045-4-2	172.0
NW045-5	212.0
NW046-1	213.0
NW046-5	205.0
NW047-4	170.0
NW047-5	119.0
NW048-1	217.0
NW048-5-1	268.0
NW048-5-2	208.0
NW049-1	165.0
NW049-3	102.0
NW049-4	75.5
NW049-5	218.0
NW050-1	153.5
NW050-2	131.0
NW050-3	136.0
NW050-4	132.0
NW050-5	158.0
NW051-1	186.0
NW051-2	178.0
NW051-3	184.5
NW051-5	189.0
NW051-6	221.0
NW052-1	65.0
NW052-2	227.0
NW053-1	235.0
NW053-2	167.0
NW053-3	121.0
NW053-4	199.0
NW053-5	189.0
