	shannon_entropy
NW001-1	5.5101120328802
NW001-3	5.488852168949917
NW001-4	4.154022232521742
NW002-2	6.162632552658774
NW003-1	5.845967604309022
NW003-2	5.815912243365949
NW003-3	5.344393286223449
NW003-4	5.453516871819767
NW003-5	5.421367809837742
NW005-1	6.822537657603752
NW005-2	7.209852493006278
NW005-3	6.802209134659224
NW005-4	7.036758393495483
NW005-5	7.13123171277091
NW006-1	6.941766579084563
NW006-2	7.218670722369881
NW006-3	7.178586784773542
NW007-1	5.314111139335524
NW007-2	6.155641085768234
NW007-4	5.5139409112428215
NW007-5	5.031385157066467
NW007-6	3.761265991358631
NW008-1	6.940590955676622
NW010-2	5.669140776695156
NW010-5	5.833832355318167
NW011-1	7.103845182973085
NW011-2	7.09706730145792
NW011-4	6.2968456580346
NW011-5	6.583377914169695
NW011-6	6.010369685879798
NW012-1	7.25550807444859
NW012-3	7.399721757555966
NW012-4	5.664995065373249
NW012-5	7.282999698829647
NW012-6	7.404432175089415
NW013-1	6.893795040592286
NW013-2	5.9614811358604545
NW013-3	6.446772340358905
NW013-4	6.589732314180294
NW013-5	6.2216298623923745
NW014-1	6.431150568653168
NW015-1	6.391901722950928
NW015-2	6.794247653898056
NW015-3	6.6573092767282205
NW015-5	6.534402979785106
NW015-6	6.763617376456331
NW016-1	5.889948353973605
NW016-2-1	5.828585049727471
NW016-2-2	6.731816930648167
NW016-2-3	5.4340075725844965
NW016-3	6.002035220251788
NW016-4-1	4.94370813190827
NW016-4-2	5.859890876726744
NW016-5	3.0294200018365816
NW018-1	6.576317913737727
NW018-2	6.699136044501035
NW018-3-1	6.110989549236496
NW018-3-2	5.903200222012636
NW018-4	6.465263799742299
NW018-5	6.25388540065919
NW019-1	6.739088067355542
NW019-2-1	6.530890074359625
NW019-2-2	6.680285482312048
NW019-3	6.679184936692241
NW019-4	6.75529391180862
NW019-5	6.444114862972583
NW020-1	7.208334782907816
NW020-2	6.940964639319534
NW020-3	6.801739317495887
NW020-5	7.084687627590739
NW020-6	6.7618528700005704
NW021-3	4.4811877585469055
NW022-1	6.114247126696991
NW022-4	6.54464187899784
NW022-5-1	6.797125391415698
NW022-5-2	6.0356151508216165
NW022-6	6.006039821462613
NW023-3	6.330762491862446
NW023-4	6.395548876813308
NW023-6	5.953858219526992
NW025-1	6.487744804504986
NW025-2	6.502328818394059
NW025-3	6.144340764098718
NW025-4	6.172650370285968
NW026-1	7.83960725609598
NW026-2	6.950118130294046
NW026-3	7.40821380642655
NW026-4	7.179214607838608
NW026-5	7.003524621650499
NW027-1	5.4674734738062565
NW027-2	5.397056602220306
NW027-3	5.023729518622608
NW027-5	5.209469549676072
NW027-6	5.384933298157064
NW028-1	5.477316240274135
NW028-2	5.953255086390843
NW028-3	5.743652516814274
NW028-4	6.079124086618384
NW028-5	5.727226646918282
NW029-1	6.330503762655031
NW029-1R	6.654478993849265
NW029-2	6.65457619016988
NW029-3	6.473773903455239
NW029-5	6.652034557746802
NW030-1	5.6266627557864
NW030-2	6.023404041186469
NW030-4	5.686180331794139
NW030-5-1	5.590857242489653
NW030-5-2	5.792389704882721
NW030-6	5.0958335189337305
NW031-1	5.7989279457949525
NW031-2	6.151412705248617
NW031-3	6.073981115132533
NW031-4	5.93781241438036
NW031-5	5.396262242827608
NW032-1	5.662079849411397
NW032-2	4.576806813551599
NW032-3	5.863176537061013
NW032-4-1	5.652094434640249
NW032-4-2	4.362866788838543
NW032-4-3	5.245770950670911
NW032-5	6.328315053213991
NW033-1	4.432730014290868
NW033-2	5.245707795253695
NW033-3	4.882498886192844
NW033-4	4.391351224295526
NW033-5	4.971544598121374
NW034-1	6.405170447982512
NW034-2-1	6.12483774760716
NW034-2-2	6.357737764945687
NW034-3	5.9660896046925345
NW034-4	6.651717685631108
NW034-5	6.193769611654805
NW035-1	6.4290352395345165
NW035-2	6.640818508506021
NW035-4-1	6.529029906880737
NW035-4-2	6.346244870754401
NW035-5	6.458912750394372
NW036-1	5.927243635544899
NW036-2	6.325638304973313
NW036-3	6.563430892362883
NW036-4	6.608459858802792
NW036-5	6.457626247426283
NW038-1	7.086151854353795
NW038-2	7.374094490155157
NW038-3	7.196127408546193
NW038-4	7.249110154185267
NW038-5	7.188352663337782
NW040-1	6.74524884219082
NW040-2-1	7.323861555732721
NW040-2-2	7.109970971925946
NW040-3	6.515828141210573
NW041-1	6.4160278620355395
NW041-2	6.521324861274317
NW042-1	5.796368922273118
NW042-3	6.755249657647486
NW042-4	6.222581184272247
NW042-5	5.781257631546152
NW043-1	7.12366093284135
NW043-3	6.637018114074254
NW043-4-1	7.180478009584037
NW043-4-2	7.072924296848723
NW043-6	7.280919411898278
NW044-1	6.750892407153168
NW045-1	5.273615175046121
NW045-2	5.370180378640651
NW045-3	6.7755805216705784
NW045-4-1	6.525301668848288
NW045-4-2	5.18065559445709
NW045-5	5.806437829299499
NW046-1	6.729881461598598
NW046-5	6.55158406608742
NW047-4	5.976118332078379
NW047-5	5.774842206259133
NW048-1	6.652095574176117
NW048-5-1	7.225100432019207
NW048-5-2	6.437358933277629
NW049-1	6.178244935905688
NW049-3	5.821107743865511
NW049-4	5.002584049832919
NW049-5	6.959655084401378
NW050-1	5.432440208399621
NW050-2	5.09745238400588
NW050-3	4.198759321503946
NW050-4	4.926314848626327
NW050-5	5.539761231011334
NW051-1	6.163906565182048
NW051-2	5.8711844569478755
NW051-3	5.74771388902802
NW051-5	5.887825712670774
NW051-6	6.024749376511587
NW052-1	5.491597627032449
NW052-2	7.237530591562505
NW053-1	5.936921711768946
NW053-2	4.692724427107631
NW053-3	4.516880831673555
NW053-4	5.35949960645993
NW053-5	5.282185660929574
