	faith_pd
NW001-1	18.53721394797058
NW001-3	18.63018395686549
NW001-4	16.85096760737093
NW002-1	19.69873398706978
NW002-2	18.87629518284045
NW003-1	20.25458522317344
NW003-2	20.69902057235053
NW003-3	20.5200916799038
NW003-4	19.65013985406236
NW003-5	19.62880299748312
NW005-1	24.11743805536089
NW005-2	22.50259890326234
NW005-3	21.19034576095817
NW005-4	23.21819810540459
NW005-5	23.42858171296928
NW006-1	27.03364891340157
NW006-2	28.75244240147898
NW006-3	31.77586831548474
NW007-1	14.9255863134338
NW007-2	17.96015101204108
NW007-4	15.77034103443519
NW007-5	10.966025242083
NW007-6	14.03066924984563
NW008-1	21.29689781504476
NW010-1	16.52666888392627
NW010-2	18.28493709328575
NW010-4	15.75140930056994
NW010-5	13.19207919591814
NW011-1	22.92210628856316
NW011-2	24.12681940419042
NW011-4	22.81375967472808
NW011-5	25.03048164153304
NW011-6	23.83301036485883
NW012-1	23.34123667218729
NW012-3	24.76647231187713
NW012-4	19.01242184647185
NW012-5	24.48956746316592
NW012-6	23.21249397419479
NW013-1	24.19050952982037
NW013-2	16.74243724856615
NW013-3	21.4159497986637
NW013-4	20.44638974483771
NW013-5	20.6200291476657
NW014-1	20.40425929501239
NW015-1	24.16963895331033
NW015-2	21.90012494250313
NW015-3	22.96211678644224
NW015-5	22.97447008836786
NW015-6	24.08424595910317
NW016-1	19.80067794250032
NW016-2-1	20.15214231345943
NW016-2-2	24.96297153955538
NW016-2-3	14.80230386303908
NW016-3	18.85558373189224
NW016-4-1	17.97327347013329
NW016-4-2	18.88882577703401
NW016-5	17.55158707302033
NW018-1	19.80073784375407
NW018-2	19.24297928473379
NW018-3-1	19.60688315633335
NW018-3-2	16.83109817163378
NW018-4	20.1501881577828
NW018-5	20.09937599608919
NW019-1	23.51308853902195
NW019-2-1	21.94320210150918
NW019-2-2	23.89122968649686
NW019-3	23.34873876964262
NW019-4	22.61760960034427
NW019-5	24.50529329260427
NW020-1	22.0857746888682
NW020-2	19.32367335492253
NW020-3	21.18215677087155
NW020-5	22.44954709954549
NW020-6	21.14759768960663
NW021-3	16.99871544348402
NW021-5	18.47308039990162
NW021-6	19.15823566095838
NW022-1	21.22686348511808
NW022-4	24.33363473543054
NW022-5-1	23.80431545823868
NW022-5-2	22.97190864665263
NW022-6	21.90643326863952
NW023-1	26.40258484975656
NW023-3	25.47478164967006
NW023-4	25.77060734118536
NW023-6	20.36534731232506
NW025-1	21.41702591010817
NW025-2	22.56377758802848
NW025-3	19.37487308308628
NW025-4	23.06142118545311
NW026-1	26.39757937798058
NW026-2	21.80134889352945
NW026-3	22.67700355954789
NW026-4	23.08104351072647
NW026-5	23.49199053560752
NW027-1	12.92747741240981
NW027-2	10.09405206002876
NW027-3	11.03070684958974
NW027-5	13.47235553787016
NW027-6	13.52106794912414
NW028-1	16.08218386518647
NW028-2	17.40483860337225
NW028-3	14.86787568543555
NW028-4	15.51927254040724
NW028-5	16.32318123899222
NW029-1	23.64530117367751
