	pielou_evenness
NW001-1	0.8003035229501934
NW001-3	0.791395423800533
NW001-4	0.6266945790558509
NW002-2	0.8627523618371464
NW003-1	0.8086463946281203
NW003-2	0.7829537930850936
NW003-3	0.7564306971239114
NW003-4	0.7981361911323617
NW003-5	0.7673898634049952
NW005-1	0.8425185602090637
NW005-2	0.9028744919890649
NW005-3	0.8886064833203897
NW005-4	0.885519513993809
NW005-5	0.8934581978742191
NW006-1	0.8943249273409988
NW006-2	0.8978394692264591
NW006-3	0.8694217877703734
NW007-1	0.7993485189168743
NW007-2	0.8316006516335616
NW007-4	0.8286451343579996
NW007-5	0.7464792863115776
NW007-6	0.5877690751556204
NW008-1	0.8965565592794185
NW010-2	0.7977608736759785
NW010-5	0.8371614780502246
NW011-1	0.8634982864347925
NW011-2	0.8478543089777885
NW011-4	0.7815830415226657
NW011-5	0.7996444806280714
NW011-6	0.7542060841406879
NW012-1	0.8837322131083372
NW012-3	0.8966187773710395
NW012-4	0.7756112507865163
NW012-5	0.8816083333064734
NW012-6	0.9127996527952178
NW013-1	0.8623406836518006
NW013-2	0.8119607696182081
NW013-3	0.8798874041560542
NW013-4	0.8574345401025523
NW013-5	0.8265780409895315
NW014-1	0.8573074695097576
NW015-1	0.8340064438368451
NW015-2	0.9000881894464379
NW015-3	0.8615128903388093
NW015-5	0.8390914856534426
NW015-6	0.8594915341814025
NW016-1	0.8122187114243322
NW016-2-1	0.8457603332624024
NW016-2-2	0.8634398873948754
NW016-2-3	0.8867139380805559
NW016-3	0.8567277989657095
NW016-4-1	0.732679503582867
NW016-4-2	0.8356834215050672
NW016-5	0.4508031246325618
NW018-1	0.8455988175419236
NW018-2	0.8764332238461091
NW018-3-1	0.7998517107793643
NW018-3-2	0.8762203504379598
NW018-4	0.8546485093735963
NW018-5	0.8098923515466501
NW019-1	0.8811475400940956
NW019-2-1	0.8832595074198776
NW019-2-2	0.87430640093697
NW019-3	0.8696571904662542
NW019-4	0.8816172915902316
NW019-5	0.846527740240234
NW020-1	0.8946085500459819
NW020-2	0.9043065691702938
NW020-3	0.8681046221554842
NW020-5	0.8960221829876085
NW020-6	0.864576854399836
NW021-3	0.6779355777160206
NW022-1	0.8137560209589914
NW022-4	0.8353614359270891
NW022-5-1	0.89016326241584
NW022-5-2	0.8331948500953619
NW022-6	0.7901940698160181
NW023-3	0.8138686534443288
NW023-4	0.8362137845792176
NW023-6	0.7964768606525446
NW025-1	0.863658191846714
NW025-2	0.8635418528225183
NW025-3	0.8472178061644313
NW025-4	0.8102946773567602
NW026-1	0.9301169082912797
NW026-2	0.9114780040354791
NW026-3	0.9215791339683792
NW026-4	0.8980196155725308
NW026-5	0.8756502039304517
NW027-1	0.802449580032342
NW027-2	0.8511888726747677
NW027-3	0.75882534492957
NW027-5	0.7891730012065465
NW027-6	0.7854093705170457
NW028-1	0.7515230933720314
NW028-2	0.8020757214138983
NW028-3	0.7982811586975378
NW028-4	0.8164248145526034
NW028-5	0.7810908334117683
NW029-1	0.8350743479272666
NW029-1R	0.8699858428012106
NW029-2	0.8787550251159973
NW029-3	0.8618276989847096
NW029-5	0.867177623301209
NW030-1	0.7610196765384158
NW030-2	0.827237311083166
NW030-4	0.7826015064134608
NW030-5-1	0.762908592185586
NW030-5-2	0.8038175525492488
NW030-6	0.7357927289831476
NW031-1	0.7643415201914541
NW031-2	0.8142181656997004
NW031-3	0.8272699330824583
NW031-4	0.8070938013815525
NW031-5	0.7695638725273795
NW032-1	0.8151880971731764
NW032-2	0.730640863568779
NW032-3	0.8109574110210653
NW032-4-1	0.7748823451675316
NW032-4-2	0.8090893852814542
NW032-4-3	0.7203996526356322
NW032-5	0.8056836075100767
NW033-1	0.6409697852252394
NW033-2	0.7333153694940772
NW033-3	0.7290286430287221
NW033-4	0.7950216290196708
NW033-5	0.7119076611817746
NW034-1	0.8137058144415618
NW034-2-1	0.8112805797855268
NW034-2-2	0.812096257934984
NW034-3	0.7873397004793272
NW034-4	0.8477619261574185
NW034-5	0.8038439766712997
NW035-1	0.8242673994084555
NW035-2	0.8635380549447598
NW035-4-1	0.8366994581886644
NW035-4-2	0.8224405371025736
NW035-5	0.827561248831443
NW036-1	0.8218833952338822
NW036-2	0.8661629326808031
NW036-3	0.8545208049620427
NW036-4	0.8572916762537388
NW036-5	0.8456065710337098
NW038-1	0.874559737571093
NW038-2	0.9053891322548286
NW038-3	0.8894133216629887
NW038-4	0.8792432764948452
NW038-5	0.8859767899042745
NW040-1	0.8620126174904474
NW040-2-1	0.8911333121314731
NW040-2-2	0.8714896022621221
NW040-3	0.8415536151753882
NW041-1	0.851884881521008
NW041-2	0.8284376403470831
