	NW001	NW002	NW003	NW005	NW006	NW007	NW008	NW010	NW011	NW012	NW013	NW014	NW015	NW016	NW018	NW019	NW020	NW021	NW022	NW023	NW025	NW026	NW027	NW028	NW029	NW030	NW031	NW032	NW033	NW034	NW035	NW036	NW038	NW040	NW041	NW042	NW043	NW044	NW045	NW046	NW047	NW048	NW049	NW050	NW051	NW052	NW053
NW001	0.0	42.37969132140399	40.38869979628493	42.17192128973204	43.91028799935953	39.769379390318456	42.65256469347683	32.41028786410474	42.99633548679423	44.27664388753115	40.41771423809535	42.13533252176203	44.06296496516161	37.5437989161384	40.88503142952017	39.48312745227357	43.98398468431572	36.79037708431988	41.33854432664722	41.949719835281115	39.85989293194856	41.45349590305561	40.34123760113001	41.32527951460964	41.693213795216046	39.605551820372824	39.469180177697254	40.04022071755784	40.05590278518197	40.779897392138665	41.891783201198514	37.48467079436408	45.08406838678853	41.786002632257365	39.323035169562274	40.39742961624273	42.73602448029345	42.27427433218133	38.83332267018883	43.307038939643654	38.851382063479676	41.051773413492235	40.7677393671249	37.019273525399264	37.491566305712375	43.8094874815553	37.08147321397317
NW002	42.37969132140399	0.0	40.79885791279437	43.25190296058769	47.35560524325806	43.3360046902262	44.86883659143477	43.888220806148304	43.11972561667157	45.91637924854718	44.838228659544605	44.19723649101074	44.12949441302105	43.409057153729016	44.514106373003855	45.32253213509947	43.39342108812415	40.0856152986752	43.903790617206425	44.09909393108442	44.182243972013886	46.01010678790906	42.121155786324216	41.600422964026194	45.25833228373597	41.99109586894813	42.322228106620884	42.20383451713167	40.2403608595052	42.64451215105149	43.75579167287744	43.8813687578434	46.810823714355706	45.488511447253224	44.602783160784625	42.99885425028592	46.30207150932712	44.70441476906368	41.36998075979435	45.71184702275408	43.34320073381299	46.51378854765868	42.94796929023188	41.05539334802857	43.388207409170185	44.60731083669667	39.70158844957933
NW003	40.38869979628493	40.79885791279437	0.0	42.10361928428702	44.38919032240204	40.40469585065663	41.64981725073132	42.87053409763046	42.09436923534317	42.80797855137009	42.959893927351715	42.346538165638535	41.92170242830863	40.87569936735225	41.93048072287908	42.841312229106805	42.54173974856406	36.67976076521833	42.63035875551148	38.74881965413004	41.403121067188295	43.84676890549685	42.13466157639492	40.09594985647811	37.69944446075177	37.99757543189582	41.155580171996014	39.892675740057186	38.7966475364083	40.03790381080431	43.04754470956366	40.42054097819434	41.773868330409684	42.589336758759416	42.369951080081904	39.56662166462871	42.840308376760795	42.15586027515073	39.567019517947514	41.57436042061112	40.17447026788233	42.82650392900665	39.64565224319884	37.517414144351264	37.51729174886074	43.02230734816972	36.791421808647485
NW005	42.17192128973204	43.25190296058769	42.10361928428702	0.0	46.22797877249387	42.359039404062955	42.60401453613237	44.69524587505435	44.96240393288163	45.99841971000643	46.32754911697787	44.12094091412829	44.844658713370066	42.447759994351934	42.65765744487809	44.267419789566446	42.66619354498788	41.10228696828879	44.250655097451165	45.16353995499126	44.36345966090393	43.93422065181179	46.757806322998015	44.590478238756376	46.37257586521564	44.63702038567493	44.011953947841015	44.99586424257941	42.65436065576501	43.82061208219731	46.532585786163835	42.14874489240695	45.2572529070435	44.42163477755007	44.343562073856454	44.59451186113558	47.53930170632961	44.739441301584684	40.120303278005444	46.27163769048047	43.31791263485114	44.35512339046451	44.971341750736286	42.34156686414908	43.461346189604114	42.99449342963018	40.509370540180036
NW006	43.91028799935953	47.35560524325806	44.38919032240204	46.22797877249387	0.0	45.09054162984085	45.56177706864827	46.52328742422542	47.96726570753629	46.88568948795127	46.527825973383756	45.20835929167413	45.91402002688482	45.17064057873785	46.90691413756668	45.53871109039623	46.47952200946613	43.27757113758329	45.35164132241188	46.16393497271456	46.344007545481986	47.17643614368214	47.22955248304292	45.80788283309376	46.76769601059008	44.84484594464662	43.714546637275625	46.871609563842384	45.282890437023724	45.15022474323967	44.715587083746826	45.00739642747951	46.48365165571424	44.68793485941829	46.93942313451445	45.81785368191812	45.70404000841055	45.762818195001806	44.31818309475122	46.77451680929481	43.856727901670226	44.691147352529526	47.27689498737407	41.753147280301796	43.58029230570904	47.11556452574208	40.98727521962325
NW007	39.769379390318456	43.3360046902262	40.40469585065663	42.359039404062955	45.09054162984085	0.0	40.53429525053625	43.37281073527712	40.84818007090126	43.32971662920359	43.39809573159113	39.82987022492789	43.36996870228694	41.33308266536392	40.27191765068848	42.93602795501786	43.24862023560174	38.39694758368035	41.28562096643488	42.25233408313348	41.52634633481119	44.72280346170398	42.967294949046256	37.70865006694243	42.89706975722324	41.5523815443842	40.86296183774351	42.3240245733961	39.5725343073319	41.45528996672186	41.506054014618236	42.2285952434499	44.20092076663364	42.39265576953987	42.68848213157512	43.18304449064783	44.688277167152634	42.382012174659	39.77300418623843	42.5981124756092	41.339813544587216	40.44145943706417	43.11791106119107	38.600064182643585	40.0217736898478	42.488322935563936	37.47230687669503
NW008	42.65256469347683	44.86883659143477	41.64981725073132	42.60401453613237	45.56177706864827	40.53429525053625	0.0	44.78973383344035	45.365955891803395	43.624171977717126	44.80569180626162	42.61200315936682	45.914551850255236	44.250334895035635	43.082451098759265	46.30297797704984	42.059369971720244	42.64244677241833	44.35516483221713	45.37046153161115	44.33528540503057	46.273643654097455	45.70180382265064	40.89857317856659	44.10907886834846	42.360461494368074	42.83603011066126	44.62496178497697	41.978099319593376	43.252488893868524	45.10982038897854	43.38462148566309	45.349312923071345	43.74485734410353	44.92287711481952	44.73573391904313	45.93342876780626	44.722919380438874	40.35376379756335	45.35766868959156	43.029345182639965	42.339603726341224	44.078708106108884	40.73983179352619	43.051610209832276	44.90827399084486	39.64405488514624
NW010	32.41028786410474	43.888220806148304	42.87053409763046	44.69524587505435	46.52328742422542	43.37281073527712	44.78973383344035	0.0	45.91983067372845	46.81141229502759	42.331480459223584	45.04311809730243	46.78300007625456	40.64158985436113	44.30888660836857	43.79258262087372	46.02743817889911	38.86747306035255	43.23591661636734	44.56992332631682	42.420642526515316	45.197043211251106	39.09343423133406	42.75292333665595	44.49818431156506	43.02095616822563	43.40436541128207	41.784801600499485	40.299902740656	44.09280002222074	44.41155565535786	40.28160602026323	48.38759461562321	44.6000042569986	42.55367757202843	43.196894936265494	45.51313496479973	45.92490250039915	40.02688803461179	46.77908705970438	41.070942080117604	44.12427684053502	43.13047542759661	38.54597093158639	41.77405822732882	45.832256901576905	39.786874200079595
NW011	42.99633548679423	43.11972561667157	42.09436923534317	44.96240393288163	47.96726570753629	40.84818007090126	45.365955891803395	45.91983067372845	0.0	45.28181488426917	45.681393574665954	43.187978672817664	46.098889060139385	43.692007251823796	43.271182482314515	44.50787197011662	44.90823624550481	40.82912625374169	43.92618278443195	46.125035427162494	46.21785521986093	44.12575161799213	44.45861654810256	40.303321251702776	45.80795951521747	42.674589386845305	44.576848358193125	44.42160672122246	42.978256747759026	41.68627633063149	44.58243433715397	43.72828390795239	46.11486817270493	46.38187976443814	44.981458441444985	45.03680846421036	46.33612629882973	46.05235883140399	41.04397856503641	46.17166048355959	44.8401633727223	43.684137642635626	44.09738759785577	41.64728356460209	43.593041742689024	44.27780530449619	40.67617826245402
NW012	44.27664388753115	45.91637924854718	42.80797855137009	45.99841971000643	46.88568948795127	43.32971662920359	43.624171977717126	46.81141229502759	45.28181488426917	0.0	45.77375496240484	41.99793340494244	46.906485547591664	44.716481703313654	44.14439608482305	46.90468084523991	44.08239785038299	42.691527634292825	44.73135169814913	45.38120733584088	44.7135433347162	46.467673761859466	46.96626487690553	43.842965687652075	47.36918757620414	44.0049907785632	44.56462822994013	46.159276791605414	44.01426723824954	41.8775731637887	45.14425503725477	44.77176180882947	45.73606552421276	45.487938637108975	45.98579549561424	45.03354638659484	47.092257683830596	46.19306653536459	40.834553767110684	45.892713371297475	42.24241748927629	43.14860211163733	44.85435843000282	42.534799649838206	43.78664921987426	44.78289700255193	41.293718612333784
