	NW001	NW002	NW003	NW005	NW006	NW007	NW008	NW010	NW011	NW012	NW013	NW014	NW015	NW016	NW018	NW019	NW020	NW021	NW022	NW023	NW025	NW026	NW027	NW028	NW029	NW030	NW031	NW032	NW033	NW034	NW035	NW036	NW038	NW040	NW041	NW042	NW043	NW044	NW045	NW046	NW047	NW048	NW049	NW050	NW051	NW052	NW053
NW001	0.0	0.6869409680366516	0.6280761957168579	0.5073445439338684	0.5483818054199219	0.4731470048427582	0.495127946138382	0.3597961366176605	0.6627150774002075	0.4985470473766327	0.587834894657135	0.5858627557754517	0.599155843257904	0.4102186560630798	0.5913473963737488	0.5617448091506958	0.5093506574630737	0.7236275672912598	0.445252537727356	0.6149314045906067	0.4775662422180176	0.4973076283931732	0.6213850975036621	0.5668231844902039	0.75362628698349	0.6303198933601379	0.5173931121826172	0.6006471514701843	0.6611490249633789	0.7192952632904053	0.4475610256195068	0.489749014377594	0.6132460236549377	0.4543402194976807	0.6036871075630188	0.7054502964019775	0.5477079153060913	0.443321704864502	0.5298309326171875	0.5046413540840149	0.3386073708534241	0.5443727374076843	0.4825610518455505	0.5415935516357422	0.6457352638244629	0.4790432453155518	0.452927827835083
NW002	0.6869409680366516	0.0	0.6305970549583435	0.4855253100395203	0.6188627481460571	0.6466810703277588	0.5985936522483826	0.6406418085098267	0.6643127799034119	0.5706720948219299	0.6444489359855652	0.6229729056358337	0.5309072136878967	0.6025330424308777	0.6616705060005188	0.5251511335372925	0.5394760370254517	0.7518506050109863	0.591458797454834	0.6270027160644531	0.6284540891647339	0.5422045588493347	0.7251020073890686	0.6726710200309753	0.6732025146484375	0.6932088136672974	0.5517109036445618	0.6701458692550659	0.7492135167121887	0.5541710257530212	0.6485700607299805	0.5456250309944153	0.5731786489486694	0.4873072504997253	0.5646035075187683	0.5742933750152588	0.5380844473838806	0.5647056698799133	0.6380742788314819	0.5723649263381958	0.6069196462631226	0.6164864897727966	0.4362790584564209	0.684837281703949	0.7210649847984314	0.4947148859500885	0.6437363624572754
NW003	0.6280761957168579	0.6305970549583435	0.0	0.4242737591266632	0.6900543570518494	0.5975416302680969	0.6286910176277161	0.6657286882400513	0.5653172731399536	0.5242672562599182	0.4459992647171021	0.519878625869751	0.4324672520160675	0.4329692423343658	0.3537901341915131	0.4336784183979034	0.5839952230453491	0.6246917843818665	0.5532694458961487	0.2868695259094238	0.3667102158069611	0.4840540587902069	0.8154500126838684	0.6220199465751648	0.3078003227710724	0.3835463523864746	0.3807060420513153	0.4807369709014893	0.6024361252784729	0.4056595861911774	0.629417896270752	0.382477343082428	0.4547554850578308	0.4177975356578827	0.3836999535560608	0.3080122768878937	0.5402500033378601	0.3688371181488037	0.6823865175247192	0.4895538091659546	0.5252257585525513	0.4175800085067749	0.3911149203777313	0.7026073336601257	0.3367983400821686	0.5282166600227356	0.6694692373275757
NW005	0.5073445439338684	0.4855253100395203	0.4242737591266632	0.0	0.4754308462142944	0.3985280990600586	0.3799278438091278	0.4421976804733276	0.4228648543357849	0.2988514602184296	0.3203368782997131	0.3110076189041138	0.2938919961452484	0.3358671069145203	0.3599787652492523	0.4015275239944458	0.319837898015976	0.6184464693069458	0.3257105648517609	0.3576992452144623	0.3556100726127625	0.2648158967494965	0.678004264831543	0.4760306775569916	0.5053741335868835	0.4669363498687744	0.3164496123790741	0.4563558995723724	0.5366256833076477	0.3926130831241608	0.5202282667160034	0.2440245747566223	0.3301149010658264	0.2845486104488373	0.29548579454422	0.4172230958938599	0.4092263281345367	0.3175422549247742	0.4719638526439667	0.3718240559101105	0.3737743496894836	0.2528888881206512	0.3447750806808472	0.549486517906189	0.4180532395839691	0.2802280783653259	0.4691540598869324
NW006	0.5483818054199219	0.6188627481460571	0.6900543570518494	0.4754308462142944	0.0	0.5173147320747375	0.3270634114742279	0.513118326663971	0.6182664036750793	0.4218746423721313	0.5594451427459717	0.5365017056465149	0.5599281191825867	0.6237090229988098	0.6431790590286255	0.6604341268539429	0.348416656255722	0.8571685552597046	0.5069049000740051	0.6004781126976013	0.5942055583000183	0.4936847686767578	0.6196907758712769	0.6465483903884888	0.7969186305999756	0.6946482062339783	0.562778115272522	0.6331174373626709	0.7789189219474792	0.6985507011413574	0.354579895734787	0.5362085700035095	0.4944999814033508	0.5068660974502563	0.6082688570022583	0.6429936289787292	0.5062517523765564	0.5450940132141113	0.4923414289951324	0.4356538653373718	0.5771488547325134	0.5363224744796753	0.5746522545814514	0.5868731141090393	0.6401761770248413	0.3897901475429535	0.5550025105476379
NW007	0.4731470048427582	0.6466810703277588	0.5975416302680969	0.3985280990600586	0.5173147320747375	0.0	0.44733065366745	0.4406558871269226	0.4970294237136841	0.3640692234039307	0.4553468823432922	0.4282645881175995	0.4965387582778931	0.4556816518306732	0.504897952079773	0.5562153458595276	0.4629391133785248	0.7236425876617432	0.4365423619747162	0.5229932069778442	0.4908806979656219	0.418462336063385	0.650392472743988	0.4689436852931976	0.6839913129806519	0.5851839184761047	0.4400984048843384	0.5150157809257507	0.6347362995147705	0.5787541270256042	0.5027242302894592	0.4025147259235382	0.5135214924812317	0.4739179313182831	0.4917871057987213	0.622045636177063	0.5476232767105103	0.470163881778717	0.4900144040584564	0.4398168325424194	0.4415003955364227	0.4478924572467804	0.4863469004631042	0.5856150984764099	0.5907005071640015	0.3857697248458862	0.4605355858802795
NW008	0.495127946138382	0.5985936522483826	0.6286910176277161	0.3799278438091278	0.3270634114742279	0.44733065366745	0.0	0.4253668487071991	0.5036500096321106	0.3568603098392487	0.4759363830089569	0.4788874089717865	0.5233587026596069	0.5599011182785034	0.5336667895317078	0.5886435508728027	0.2637885808944702	0.775726854801178	0.3965952694416046	0.5632987022399902	0.5314905643463135	0.391813188791275	0.5797449946403503	0.5058872699737549	0.7007883787155151	0.5808089971542358	0.5208114981651306	0.5672145485877991	0.6720371246337891	0.627873420715332	0.3773465752601624	0.4519169628620148	0.4631242454051971	0.4203552007675171	0.514393150806427	0.5851454734802246	0.4670591354370117	0.5104876160621643	0.4425412118434906	0.4677947163581848	0.5166817903518677	0.4561903774738312	0.5189051628112793	0.5321394801139832	0.5986890196800232	0.3270629644393921	0.5026629567146301
NW010	0.3597961366176605	0.6406418085098267	0.6657286882400513	0.4421976804733276	0.513118326663971	0.4406558871269226	0.4253668487071991	0.0	0.6086195707321167	0.4405355155467987	0.5084146857261658	0.5064778923988342	0.5815378427505493	0.5404528379440308	0.5983670353889465	0.6007176637649536	0.4616771042346954	0.6140164732933044	0.4083448946475983	0.5656936764717102	0.5597645044326782	0.4629117548465729	0.430180698633194	0.4971072971820831	0.7267521023750305	0.6545180678367615	0.520579993724823	0.5795115828514099	0.5849108695983887	0.6913487315177917	0.5364985466003418	0.4619274139404297	0.557729959487915	0.4534111022949219	0.5898923873901367	0.6547181010246277	0.5216066241264343	0.5022685527801514	0.4468269050121307	0.5023892521858215	0.4129635095596313	0.4955315887928009	0.5391554832458496	0.4128706753253937	0.6385682225227356	0.3998945951461792	0.3072822988033295
NW011	0.6627150774002075	0.6643127799034119	0.5653172731399536	0.4228648543357849	0.6182664036750793	0.4970294237136841	0.5036500096321106	0.6086195707321167	0.0	0.4005720913410187	0.4075095355510712	0.4558042585849762	0.4660438001155853	0.551397979259491	0.3661028146743774	0.6054965257644653	0.4910540878772736	0.4825764894485474	0.5116466283798218	0.5595195889472961	0.4721814692020416	0.3360226154327393	0.7304360866546631	0.2484020292758942	0.6480442881584167	0.3591007590293884	0.492148220539093	0.4800471663475037	0.4027494490146637	0.4815926551818848	0.6366057991981506	0.3458353579044342	0.5207972526550293	0.4849855899810791	0.4635828733444214	0.591823935508728	0.5432631969451904	0.4952532351016998	0.6346250176429749	0.5847947001457214	0.5562345385551453	0.4150101542472839	0.4527122974395752	0.7412141561508179	0.5964370369911194	0.4605008363723755	0.6539023518562317
NW012	0.4985470473766327	0.5706720948219299	0.5242672562599182	0.2988514602184296	0.4218746423721313	0.3640692234039307	0.3568603098392487	0.4405355155467987	0.4005720913410187	0.0	0.3695168197154999	0.2911414504051208	0.3961594104766846	0.4544415175914764	0.4257152378559113	0.5362173318862915	0.296237051486969	0.6726314425468445	0.3719820082187653	0.4591591954231262	0.4178308546543121	0.246384933590889	0.6041762232780457	0.4309015274047852	0.6178800463676453	0.4959119856357574	0.4207563996315002	0.4411306083202362	0.5457540154457092	0.4645969271659851	0.4840986728668213	0.325406551361084	0.3952617645263672	0.3847354650497437	0.4224218428134918	0.5093387365341187	0.4566835761070251	0.4239861965179443	0.4218384325504303	0.4022405445575714	0.398224413394928	0.3478120565414429	0.4296075999736786	0.569421112537384	0.5243726372718811	0.2897692918777466	0.479939877986908
