	NW001-1	NW001-3	NW001-4	NW002-2	NW003-1	NW003-2	NW003-3	NW003-4	NW003-5	NW005-1	NW005-2	NW005-3	NW005-4	NW005-5	NW006-1	NW006-2	NW006-3	NW007-1	NW007-2	NW007-4	NW007-5	NW007-6	NW008-1	NW010-2	NW010-5	NW011-1	NW011-2	NW011-4	NW011-5	NW011-6	NW012-1	NW012-3	NW012-4	NW012-5	NW012-6	NW013-1	NW013-2	NW013-3	NW013-4	NW013-5	NW014-1	NW015-1	NW015-2	NW015-3	NW015-5	NW015-6	NW016-1	NW016-2-1	NW016-2-2	NW016-2-3	NW016-3	NW016-4-1	NW016-4-2	NW016-5	NW018-1	NW018-2	NW018-3-1	NW018-3-2	NW018-4	NW018-5	NW019-1	NW019-2-1	NW019-2-2	NW019-3	NW019-4	NW019-5	NW020-1	NW020-2	NW020-3	NW020-5	NW020-6	NW021-3	NW022-1	NW022-4	NW022-5-1	NW022-5-2	NW022-6	NW023-3	NW023-4	NW023-6	NW025-1	NW025-2	NW025-3	NW025-4	NW026-1	NW026-2	NW026-3	NW026-4	NW026-5	NW027-1	NW027-2	NW027-3	NW027-5	NW027-6	NW028-1	NW028-2	NW028-3	NW028-4	NW028-5	NW029-1	NW029-1R	NW029-2	NW029-3	NW029-5	NW030-1	NW030-2	NW030-4	NW030-5-1	NW030-5-2	NW030-6	NW031-1	NW031-2	NW031-3	NW031-4	NW031-5	NW032-1	NW032-2	NW032-3	NW032-4-1	NW032-4-2	NW032-4-3	NW032-5	NW033-1	NW033-2	NW033-3	NW033-4	NW033-5	NW034-1	NW034-2-1	NW034-2-2	NW034-3	NW034-4	NW034-5	NW035-1	NW035-2	NW035-4-1	NW035-4-2	NW035-5	NW036-1	NW036-2	NW036-3	NW036-4	NW036-5	NW038-1	NW038-2	NW038-3	NW038-4	NW038-5	NW040-1	NW040-2-1	NW040-2-2	NW040-3	NW041-1	NW041-2	NW042-1	NW042-3	NW042-4	NW042-5	NW043-1	NW043-3	NW043-4-1	NW043-4-2	NW043-6	NW044-1	NW045-1	NW045-2	NW045-3	NW045-4-1	NW045-4-2	NW045-5	NW046-1	NW046-5	NW047-4	NW047-5	NW048-1	NW048-5-1	NW048-5-2	NW049-1	NW049-3	NW049-4	NW049-5	NW050-1	NW050-2	NW050-3	NW050-4	NW050-5	NW051-1	NW051-2	NW051-3	NW051-5	NW051-6	NW052-1	NW052-2	NW053-1	NW053-2	NW053-3	NW053-4	NW053-5
NW001-1	0.0	0.33699999999999997	0.8336	0.966	0.9552	0.9568	0.9610000000000001	0.9568	0.9592	0.9232	0.936	0.9168	0.9184	0.8892	0.946	0.9492	0.9476	0.8755999999999999	0.9036	0.8992	0.9328	0.96	0.911	0.23299999999999998	0.984	0.9262	0.933	0.9008	0.9338	0.9279999999999999	0.9352	0.9548	0.9444	0.9526	0.96	0.7505999999999999	0.843	0.8236	0.8142	0.7756	0.9242	0.9734	0.9776	0.9762	0.9744	0.9766	0.8728	0.8332	0.7818	0.8404	0.8312	0.8322	0.7516	0.881	0.8738	0.891	0.8728	0.8772	0.8772	0.8192	0.8026	0.7844	0.7916	0.7909999999999999	0.8008	0.8036	0.9512	0.9516	0.9504	0.956	0.9046000000000001	0.9506	0.8934	0.9508	0.8968	0.904	0.8976	0.914	0.9166	0.8664	0.8366	0.8352	0.823	0.852	0.9204	0.8948	0.906	0.8977999999999999	0.9164	0.994	1.0	0.998	0.9984	0.9968	0.9208	0.906	0.9578	0.944	0.9704	0.9306	0.9192	0.9012	0.9352	0.92	0.9744	0.9788	0.9748	0.9774	0.9824	0.98	0.908	0.8864	0.9362	0.8722	0.864	0.878	0.9808	0.8912	0.9276	0.9512	0.915	0.906	0.9764	0.9616	0.9804	0.994	0.9748	0.8612	0.8738	0.8508	0.813	0.8868	0.8776	0.9466	0.9084	0.9354	0.8788	0.954	0.725	0.7488	0.748	0.8136	0.7416	0.9792	0.9748	0.9638	0.9616	0.9746	0.8892	0.9352	0.9042	0.8212	0.8346	0.8598	0.9314	0.927	0.9268	0.9256	0.8464	0.9334	0.8586	0.9072	0.9088	0.9204	0.8722	0.8842	0.854	0.8768	0.9292	0.9288	0.9508	0.9392	0.9272	0.8528	0.8602000000000001	0.8894	0.8762	0.9086000000000001	0.9136	0.9224	0.8672	0.8724000000000001	0.8924	0.8912	0.8786	0.8754	0.7602	0.8402000000000001	0.874	0.7989999999999999	0.7464	0.977	0.9596	0.8956	0.9472	0.8872	0.8836	0.832
NW001-3	0.33699999999999997	0.0	0.742	0.9702	0.9664	0.966	0.9728	0.9732	0.974	0.9218	0.9284	0.9104	0.9106000000000001	0.878	0.9368	0.9404	0.936	0.9	0.9108	0.9292	0.944	0.966	0.9228	0.3546	0.9856	0.9326	0.94	0.9028	0.9312	0.9308	0.9601999999999999	0.9592	0.977	0.9590000000000001	0.9556	0.776	0.8712	0.8584	0.8476	0.8318	0.9292	0.9792	0.9704	0.9778	0.9756	0.974	0.8664	0.8484	0.7648	0.854	0.836	0.7554000000000001	0.7222	0.8124	0.8904	0.8872	0.8784	0.8879999999999999	0.8796	0.8436	0.7924	0.7752	0.7664	0.785	0.8036	0.7818	0.9532	0.9536	0.9532	0.9532	0.9148	0.9636	0.8832	0.9368	0.8934	0.904	0.8934	0.9236	0.9198	0.8877999999999999	0.859	0.8544	0.8536	0.8732	0.9226	0.8956	0.8986000000000001	0.9006000000000001	0.9176	0.987	0.9988	0.9974000000000001	0.9964	0.9958	0.924	0.914	0.9612	0.9501999999999999	0.9708	0.9432	0.9324	0.9097999999999999	0.9476	0.9326	0.9792	0.9816	0.976	0.9776	0.9744	0.9868	0.916	0.8956	0.9486	0.8836	0.7872	0.829	0.9834	0.8904	0.9262	0.9496	0.9148	0.899	0.986	0.9648	0.9862	0.996	0.9804	0.8704	0.886	0.8662	0.8584	0.8888	0.8804	0.9374	0.9116	0.9268	0.908	0.948	0.7538	0.7425999999999999	0.744	0.8044	0.7512	0.9872	0.9748	0.9788	0.9716	0.978	0.906	0.942	0.9138	0.7944	0.851	0.8626	0.9504	0.9530000000000001	0.9501999999999999	0.9492	0.8738	0.9328	0.8632	0.9132	0.9336	0.9328	0.8798	0.8914	0.8634	0.8784	0.9236	0.9202	0.956	0.94	0.9312	0.8764	0.8646	0.893	0.8834	0.903	0.9076	0.9196	0.8372	0.8952	0.9012	0.9084	0.8904	0.893	0.7969999999999999	0.8484	0.8752	0.8072	0.7949999999999999	0.9772	0.9652	0.9094	0.956	0.9056	0.895	0.8492
NW001-4	0.8336	0.742	0.0	0.9868	0.9868	0.9862	0.9932	0.9965999999999999	0.9918	0.969	0.9684	0.9716	0.9608	0.9568	0.9632	0.96	0.9601999999999999	0.9908	0.9876	0.9914000000000001	0.9936	0.998	0.9664	0.8294	0.9376	0.9924	0.9896	0.9848	0.984	0.9904	0.9738	0.9644	0.974	0.9712	0.967	0.897	0.9872	0.9872	0.9748	0.9722	0.9782	0.9872	0.9816	0.9862	0.9856	0.9848	0.986	0.9912	0.8388	0.9956	0.9664	0.6362	0.8524	0.603	0.9748	0.9782	0.9804	0.9885999999999999	0.9744	0.9748	0.866	0.8596	0.826	0.853	0.8832	0.8238	0.9664	0.97	0.967	0.9656	0.9684	0.9748	0.972	0.9674	0.9724	0.9804	0.938	0.9828	0.9864	0.9584	0.9756	0.9742	0.9772	0.978	0.932	0.944	0.882	0.9338	0.9232	0.9576	0.9884	0.9092	0.8566	0.9316	0.9812	0.9788	0.979	0.9812	0.9792	0.976	0.97	0.9776	0.9896	0.9808	0.9390000000000001	0.9536	0.954	0.9396	0.9856	0.9826	0.9756	0.9224	0.9736	0.9284	0.7592	0.765	0.986	0.9116	0.9476	0.9596	0.932	0.9244	0.9944	0.9908	0.9896	0.988	0.991	0.9804	0.9776	0.9804	0.984	0.9812	0.9812	0.9714	0.9756	0.9744	0.9748	0.9768	0.9548	0.936	0.9042	0.9386	0.9104	0.9856	0.9812	0.9796	0.9756	0.9732	0.9304	0.9782	0.9504	0.8478	0.9612	0.9576	0.9708	0.973	0.9752	0.9746	0.9056	0.9658	0.896	0.9324	0.97	0.9804	0.9616	0.9674	0.9426	0.9436	0.9328	0.9432	0.9864	0.9868	0.9656	0.9756	0.9664	0.9454	0.9646	0.9016	0.9104	0.913	0.839	0.9784	0.9804	0.9816	0.9792	0.9776	0.9756	0.9736	0.9772	0.9692	0.9692	0.9872	0.9594	0.9834	0.9896	0.9896	0.9868	0.9896
NW002-2	0.966	0.9702	0.9868	0.0	0.9584	0.9312	0.9588	0.9450000000000001	0.9508	0.901	0.8876	0.8776	0.88	0.918	0.9776	0.9792	0.9581999999999999	0.9956	0.9804	0.9714	0.9972	0.996	0.934	0.9794	0.9366	0.9238	0.9132	0.937	0.9458	0.9488	0.9434	0.9232	0.9764	0.9136	0.9162	0.968	0.9514	0.9692	0.968	0.9708	0.954	0.9604	0.944	0.9448	0.9441999999999999	0.94	0.9470000000000001	0.9592	0.9574	0.9556	0.9576	0.9612	0.962	0.9672	0.966	0.9716	0.9648	0.9748	0.964	0.967	0.9736	0.9732	0.9624	0.9788	0.9696	0.9764	0.8368	0.8575999999999999	0.7452	0.9432	0.9352	0.9610000000000001	0.9756	0.9564	0.9416	0.9274	0.973	0.9436	0.9392	0.9696	0.966	0.9434	0.9662	0.9768	0.946	0.9488	0.9430000000000001	0.9576	0.954	0.9332	0.9576	0.9568	0.9716	0.956	0.9508	0.9464	0.9412	0.9258	0.9396	0.9696	0.962	0.9632	0.96	0.9550000000000001	0.9521999999999999	0.9664	0.962	0.9694	0.9592	0.9644	0.9052	0.9037999999999999	0.9046000000000001	0.9026000000000001	0.9244	0.9436	0.978	0.9686	0.9664	0.9928	0.9736	0.9532	0.9494	0.93	0.9610000000000001	0.9718	0.9516	0.9504	0.9504	0.9424	0.9572	0.9534	0.9656	0.9428	0.9224	0.9444	0.9464	0.9472	0.9610000000000001	0.9581999999999999	0.9468	0.968	0.9432	0.976	0.9496	0.9438	0.9552	0.9598	0.9436	0.9232	0.9376	0.9524	0.9601999999999999	0.9686	0.9486	0.9416	0.9534	0.9362	0.9470000000000001	0.9518	0.9364	0.944	0.9408	0.9288	0.9276	0.9348	0.8988	0.9202	0.9406	0.938	0.974	0.9764	0.9388	0.9688	0.9692	0.976	0.9784	0.9384	0.9412	0.9832	0.9312	0.9592	0.9644	0.9636	0.9692	0.962	0.9666	0.9648	0.9544	0.9636	0.966	0.952	0.9328	0.8868	0.8944	0.894	0.8876	0.9196
NW003-1	0.9552	0.9664	0.9868	0.9584	0.0	0.247	0.4144	0.311	0.2912	0.9012	0.8952	0.9168	0.8976	0.9188	0.9182	0.9796	0.9564	0.958	0.9652	0.8922	0.9864	0.9908	0.9144	0.9586	0.9568	0.9472	0.9358	0.9316	0.9548	0.946	0.913	0.932	0.9492	0.9194	0.922	0.9466	0.9712	0.958	0.95	0.9486	0.952	0.928	0.8736	0.8937999999999999	0.9128	0.9092	0.946	0.948	0.9198	0.9498	0.9132	0.9401999999999999	0.9334	0.9684	0.9312	0.9576	0.9572	0.948	0.9478	0.9568	0.908	0.919	0.9226	0.9032	0.9068	0.904	0.9084	0.918	0.9144	0.9056	0.9004	0.9374	0.9468	0.9596	0.9356	0.9548	0.9601999999999999	0.7382	0.7424	0.9392	0.9492	0.9324	0.9524	0.9508	0.916	0.937	0.9168	0.9264	0.9262	0.9944	0.9945999999999999	0.9945999999999999	0.9945999999999999	0.9936	0.9588	0.9472	0.9470000000000001	0.952	0.9616	0.7536	0.7485999999999999	0.7728	0.7604	0.8142	0.9232	0.9016	0.8874	0.9048	0.8582000000000001	0.8946000000000001	0.9644	0.964	0.968	0.9590000000000001	0.982	0.968	0.9548	0.8872	0.8696	0.8832	0.8656	0.8546	0.9716	0.9550000000000001	0.968	0.9692	0.9652	0.8644	0.8724	0.8708	0.8748	0.8736	0.8756	0.9776	0.9688	0.988	0.9784	0.9884	0.9068	0.909	0.908	0.889	0.8876	0.9178	0.928	0.866	0.8728	0.9208	0.9354	0.9166	0.9314	0.96	0.93	0.9526	0.9364	0.92	0.9374	0.9364	0.9452	0.9594	0.9298	0.9256	0.9466	0.9454	0.9456	0.9510000000000001	0.9258	0.9266	0.9428	0.95	0.8872	0.9384	0.9390000000000001	0.9652	0.9374	0.9276	0.9084	0.8192	0.8608	0.89	0.9002	0.9356	0.9326	0.9504	0.9612	0.9308	0.77	0.7714	0.776	0.7754	0.7748	0.948	0.9017999999999999	0.9404	0.9608	0.9272	0.9488	0.9286
NW003-2	0.9568	0.966	0.9862	0.9312	0.247	0.0	0.3336	0.26980000000000004	0.2552	0.9282	0.9172	0.9188	0.9148	0.9278	0.9112	0.9724	0.938	0.9606	0.9638	0.893	0.9848	0.9852	0.902	0.9612	0.9388	0.9592	0.9516	0.938	0.9688	0.9592	0.9188	0.935	0.9458	0.9124	0.9096	0.9484	0.9544	0.9648	0.9468	0.95	0.9561999999999999	0.9326	0.913	0.9248	0.9238	0.9252	0.933	0.9524	0.9244	0.9624	0.9254	0.9596	0.946	0.9652	0.9452	0.9634	0.9632	0.952	0.9578	0.9668	0.909	0.9268	0.926	0.908	0.9092	0.9046000000000001	0.9012	0.9108	0.9112	0.8916	0.8922	0.9252	0.952	0.9544	0.9408	0.9384	0.956	0.7046	0.715	0.9376	0.9468	0.924	0.958	0.9546	0.9312	0.95	0.9356	0.942	0.9296	0.9726	0.9728	0.9728	0.9752	0.9732	0.95	0.9316	0.9401999999999999	0.936	0.9354	0.7166	0.7104	0.7502	0.7238	0.7882	0.9224	0.903	0.866	0.9076	0.838	0.8888	0.9608	0.9588	0.9646	0.9556	0.9788	0.9756	0.9572	0.8844	0.8654	0.878	0.8592	0.8504	0.9552	0.9494	0.95	0.9464	0.9472	0.8708	0.8708	0.8726	0.876	0.8748	0.8684	0.9752	0.9676	0.984	0.9736	0.984	0.9072	0.9172	0.9132	0.9008	0.8937999999999999	0.9278	0.9314	0.8634	0.875	0.907	0.9204	0.909	0.9144	0.9352	0.9296	0.9516	0.9308	0.916	0.9424	0.918	0.925	0.9362	0.913	0.9056	0.9254	0.9472	0.9262	0.9244	0.9104000000000001	0.9017999999999999	0.9172	0.928	0.8776	0.932	0.9198	0.9441999999999999	0.9416	0.9381999999999999	0.9204	0.8276	0.8692	0.8872	0.904	0.9148	0.9166	0.9312	0.9424	0.9088	0.7408	0.7388	0.7402	0.7382	0.7425999999999999	0.9516	0.9254	0.9176	0.9374	0.9052	0.9276	0.9136
NW003-3	0.9610000000000001	0.9728	0.9932	0.9588	0.4144	0.3336	0.0	0.34740000000000004	0.3846	0.9344	0.9376	0.9338	0.9372	0.9362	0.9084	0.9776	0.9428	0.9612	0.9704	0.8934	0.9862	0.9856	0.9228	0.97	0.9524	0.9664	0.962	0.9526	0.9742	0.968	0.9484	0.9408	0.9644	0.9392	0.9410000000000001	0.962	0.9636	0.9716	0.9652	0.9632	0.9644	0.9536	0.956	0.962	0.9544	0.9566	0.9612	0.9804	0.9496	0.9888	0.9716	0.984	0.9816	0.9916	0.9596	0.976	0.9736	0.968	0.9704	0.974	0.9468	0.9544	0.9512	0.9404	0.946	0.9388	0.9468	0.9424	0.9466	0.9272	0.924	0.95	0.9684	0.9678	0.9524	0.9516	0.9716	0.6954	0.7078	0.9376	0.9496	0.9308	0.96	0.9636	0.9492	0.9684	0.9596	0.963	0.9508	0.98	0.9816	0.9816	0.982	0.9792	0.9616	0.9476	0.9546	0.952	0.9516	0.7012	0.6956	0.7548	0.7232	0.8044	0.9348	0.9152	0.7998000000000001	0.9176	0.7754	0.8812	0.9664	0.9664	0.9594	0.9464	0.978	0.9736	0.9604	0.9124	0.9016	0.9264	0.9064	0.8926000000000001	0.9624	0.9548	0.9638	0.9752	0.9564	0.9246	0.9372	0.931	0.9342	0.93	0.9432	0.9716	0.9664	0.9756	0.97	0.9776	0.9348	0.934	0.9404	0.9262	0.9332	0.944	0.9464	0.8868	0.893	0.9308	0.9398	0.9334	0.9292	0.9490000000000001	0.932	0.9572	0.9392	0.924	0.9424	0.926	0.9430000000000001	0.956	0.934	0.9366	0.9456	0.9428	0.946	0.9474	0.9262	0.9326	0.9490000000000001	0.9450000000000001	0.9204	0.9336	0.9472	0.9572	0.9648	0.968	0.9546	0.9128	0.9396	0.9452	0.9334	0.9332	0.9266	0.9426	0.9492	0.9264	0.7128	0.6964	0.6992	0.7004	0.7032	0.9528	0.9534	0.9314	0.9488	0.9172	0.9388	0.9184
NW003-4	0.9568	0.9732	0.9965999999999999	0.9450000000000001	0.311	0.26980000000000004	0.34740000000000004	0.0	0.2548	0.9216	0.935	0.9376	0.912	0.922	0.8892	0.9904	0.938	0.9621999999999999	0.9744	0.8836	0.9892	0.9904	0.9292	0.964	0.9148	0.968	0.9648	0.9494	0.9792	0.9672	0.9530000000000001	0.948	0.9556	0.9436	0.9458	0.9668	0.9424	0.9448	0.9516	0.9596	0.9596	0.9452	0.9374	0.948	0.9356	0.9366	0.9552	0.9774	0.9332	0.9832	0.9644	0.9826	0.9792	0.9936	0.9548	0.978	0.9688	0.9532	0.9628	0.9668	0.9116	0.9216	0.9312	0.9074	0.91	0.902	0.9278	0.9314	0.9444	0.9216	0.9204	0.904	0.9678	0.9618	0.944	0.9396	0.9748	0.7848	0.752	0.936	0.9436	0.922	0.9568	0.9552	0.9554	0.9636	0.956	0.958	0.9474	0.9492	0.9492	0.9504	0.9684	0.964	0.9446	0.9232	0.9304	0.9216	0.932	0.764	0.753	0.774	0.7184	0.7788	0.934	0.9076	0.8334	0.9104	0.8026	0.8644	0.974	0.9724	0.946	0.9392	0.9788	0.9618	0.9604	0.8884	0.852	0.8604	0.8420000000000001	0.8192	0.9408	0.9292	0.937	0.9492	0.9164	0.8544	0.8736	0.872	0.8892	0.8896	0.8752	0.9736	0.9576	0.9748	0.968	0.9792	0.9412	0.934	0.9304	0.9176	0.926	0.94	0.9436	0.8798	0.888	0.9396	0.897	0.9202	0.8892	0.9174	0.9204	0.9384	0.924	0.9124	0.9344	0.9052	0.9122	0.9322	0.9148	0.9174	0.912	0.9432	0.9282	0.9138	0.9332	0.9068	0.9184	0.9248	0.8752	0.9308	0.9096	0.9274	0.9624	0.9676	0.9464	0.842	0.8664	0.8824	0.9252	0.8964	0.8928	0.9132	0.9206	0.8926000000000001	0.7969999999999999	0.8018000000000001	0.8028	0.8076	0.804	0.9432	0.9448	0.8864	0.9244	0.8882	0.8982	0.8766
NW003-5	0.9592	0.974	0.9918	0.9508	0.2912	0.2552	0.3846	0.2548	0.0	0.9017999999999999	0.9196	0.9236	0.8476	0.8722	0.878	0.9808	0.9518	0.9624	0.97	0.8796	0.9888	0.9902	0.9268	0.9624	0.9438	0.9552	0.9484	0.9410000000000001	0.9688	0.9526	0.9376	0.9390000000000001	0.9508	0.93	0.9418	0.9664	0.962	0.9348	0.9428	0.9552	0.9552	0.9458	0.9348	0.94	0.934	0.9444	0.9552	0.9736	0.928	0.9808	0.9521999999999999	0.976	0.9696	0.9876	0.9436	0.9646	0.9636	0.9528	0.9568	0.965	0.911	0.9232	0.9264	0.9002	0.907	0.9012	0.925	0.9268	0.9392	0.9272	0.9156	0.931	0.9590000000000001	0.9632	0.9444	0.9408	0.968	0.733	0.7088	0.9406	0.944	0.9284	0.9608	0.9548	0.9401999999999999	0.9576	0.9476	0.9444	0.9358	0.982	0.9822	0.9822	0.9824	0.9822	0.9654	0.9536	0.9578	0.9530000000000001	0.9544	0.7272	0.7258	0.7574000000000001	0.7276	0.8	0.9344	0.9114	0.8796	0.91	0.845	0.8768	0.9724	0.9708	0.9328	0.936	0.9844	0.9541999999999999	0.9581999999999999	0.8808	0.8364	0.8332	0.8128	0.794	0.9490000000000001	0.9336	0.9604	0.9732	0.9048	0.8346	0.866	0.8644	0.8816	0.8752	0.8764	0.9752	0.9636	0.9804	0.9732	0.9836	0.9338	0.932	0.9192	0.904	0.9086000000000001	0.9356	0.9396	0.87	0.8808	0.9304	0.9176	0.9208	0.8586	0.9444	0.906	0.935	0.9328	0.912	0.9372	0.926	0.9344	0.948	0.9216	0.9228	0.933	0.9488	0.9428	0.942	0.9268	0.9252	0.9432	0.9444	0.8796	0.9324	0.9376	0.9552	0.9456	0.9588	0.9401999999999999	0.8278	0.8632	0.8856	0.914	0.9236	0.9296	0.9424	0.954	0.9252	0.755	0.7564	0.7605999999999999	0.7584	0.7604	0.9348	0.9288	0.912	0.9524	0.9116	0.924	0.8957999999999999
NW005-1	0.9232	0.9218	0.969	0.901	0.9012	0.9282	0.9344	0.9216	0.9017999999999999	0.0	0.3922	0.4208	0.4096	0.47540000000000004	0.8862	0.9216	0.9024	0.8612	0.84	0.8426	0.8538	0.96	0.8344	0.9188	0.9244	0.9052	0.8832	0.9122	0.916	0.9276	0.8982	0.9122	0.9322	0.87	0.8774	0.9364	0.974	0.9366	0.9198	0.9242	0.8792	0.7888	0.8533999999999999	0.8198	0.7928	0.8144	0.824	0.8032	0.851	0.8174	0.8076	0.906	0.8182	0.9652	0.7694	0.7948	0.8668	0.8546	0.8036	0.8493999999999999	0.875	0.8533999999999999	0.8688	0.8424	0.8348	0.8664	0.8154	0.8196	0.8332	0.8596	0.7864	0.9248	0.8956	0.9088	0.8776	0.9004	0.9022	0.9068	0.8932	0.9304	0.9056	0.894	0.8608	0.8616	0.8118000000000001	0.7872	0.8196	0.802	0.7212	0.9878	0.9908	0.9892	0.992	0.9888	0.9512	0.9488	0.9434	0.948	0.9586	0.938	0.9384	0.932	0.9264	0.8976	0.9472	0.9328	0.9534	0.9656	0.9532	0.9488	0.8616	0.8706	0.8468	0.8472	0.8996	0.9412	0.979	0.9536	0.9390000000000001	0.9728	0.95	0.9212	0.9412	0.909	0.934	0.97	0.9284	0.8818	0.9012	0.895	0.9004	0.8788	0.9166	0.9566	0.9484	0.963	0.9576	0.9676	0.8816	0.8548	0.85	0.8516	0.8473999999999999	0.8824000000000001	0.8822	0.8916	0.8814	0.8218	0.8772	0.8682	0.8308	0.8734	0.8548	0.8874	0.9412	0.9117999999999999	0.9376	0.9324	0.9404	0.9412	0.9302	0.9372	0.9262	0.8392	0.8772	0.8788	0.8518	0.8448	0.8932	0.8796	0.8622000000000001	0.8544	0.9182	0.9548	0.8956	0.8994	0.9052	0.9216	0.9428	0.9752	0.9116	0.9414	0.962	0.9614	0.9576	0.9454	0.894	0.9064	0.9132	0.9008	0.8908	0.8854	0.8258	0.8992	0.9344	0.9342	0.8952	0.9004000000000001
