Family	NW001-1	NW001-3	NW001-4	NW002-1	NW002-2	NW003-1	NW003-2	NW003-3	NW003-4	NW003-5	NW005-1	NW005-2	NW005-3	NW005-4	NW005-5	NW006-1	NW006-2	NW006-3	NW007-1	NW007-2	NW007-4	NW007-5	NW007-6	NW008-1	NW010-1	NW010-2	NW010-4	NW010-5	NW011-1	NW011-2	NW011-4	NW011-5	NW011-6	NW012-1	NW012-3	NW012-4	NW012-5	NW012-6	NW013-1	NW013-2	NW013-3	NW013-4	NW013-5	NW014-1	NW015-1	NW015-2	NW015-3	NW015-5	NW015-6	NW016-1	NW016-2-1	NW016-2-2	NW016-2-3	NW016-3	NW016-4-1	NW016-4-2	NW016-5	NW018-1	NW018-2	NW018-3-1	NW018-3-2	NW018-4	NW018-5	NW019-1	NW019-2-1	NW019-2-2	NW019-3	NW019-4	NW019-5	NW020-1	NW020-2	NW020-3	NW020-5	NW020-6	NW021-3	NW021-5	NW021-6	NW022-1	NW022-4	NW022-5-1	NW022-5-2	NW022-6	NW023-1	NW023-3	NW023-4	NW023-6	NW025-1	NW025-2	NW025-3	NW025-4	NW026-1	NW026-2	NW026-3	NW026-4	NW026-5	NW027-1	NW027-2	NW027-3	NW027-5	NW027-6	NW028-1	NW028-2	NW028-3	NW028-4	NW028-5	NW029-1	NW029-2	NW029-3	NW029-5	NW030-1	NW030-2	NW030-4	NW030-5-1	NW030-5-2	NW030-6	NW031-1	NW031-2	NW031-3	NW031-4	NW031-5	NW032-1	NW032-2	NW032-3	NW032-4-1	NW032-4-2	NW032-4-3	NW032-5	NW033-1	NW033-2	NW033-3	NW033-4	NW033-5	NW034-1	NW034-2-1	NW034-2-2	NW034-3	NW034-4	NW034-5	NW035-1	NW035-2	NW035-4-1	NW035-4-2	NW035-5	NW036-1	NW036-2	NW036-3	NW036-4	NW036-5	NW038-1	NW038-2	NW038-3	NW038-4	NW038-5	NW040-1	NW040-2-1	NW040-2-2	NW040-3	NW041-1	NW041-2	NW042-1	NW042-3	NW042-4	NW042-5	NW043-1	NW043-3	NW043-4-1	NW043-4-2	NW043-6	NW044-1	NW045-1	NW045-2	NW045-3	NW045-4-1	NW045-4-2	NW045-5	NW046-1	NW046-5	NW047-4	NW047-5	NW048-1	NW048-5-1	NW048-5-2	NW049-1	NW049-2	NW049-3	NW049-4	NW049-5	NW050-1	NW050-2	NW050-3	NW050-4	NW050-5	NW051-1	NW051-2	NW051-3	NW051-5	NW051-6	NW052-1	NW052-2	NW052-4	NW053-1	NW053-2	NW053-3	NW053-4	NW053-5
Bacteroidaceae	4870	2923	251	0	0	3269	3513	2036	3216	4331	8107	2805	2584	2731	3247	1822	400	1592	7019	4725	3824	4302	2495	2283	9060	5373	125	19	7256	10242	10087	11539	13471	5234	3899	8118	6139	2097	7879	17134	15182	7641	10979	3906	6449	2411	5979	7503	5641	6236	6971	4101	2015	5026	1814	6958	179	11658	7758	11329	3754	8928	11713	4195	2651	2723	5849	6534	4555	693	852	1272	2126	7000	12881	8958	9578	4603	3091	4255	7048	4875	19547	4026	5502	4858	5492	3113	6906	9548	2935	3677	3159	6460	10433	13	0	0	7	9	9105	5973	4121	5449	3478	5399	5752	3964	6127	8637	5527	6440	10236	6693	10395	5855	3519	5252	5638	6597	0	5387	8667	14625	13734	18354	13837	15175	10293	3061	227	18638	9990	6172	7418	12508	6692	7888	1360	1745	2046	2846	1030	8971	4821	9995	8484	8666	2274	1879	2309	2611	2904	4796	4747	4424	3298	6462	10772	1728	1889	598	1011	1847	638	1281	1838	2299	6026	5774	3168	5610	4058	1539	2388	3479	3451	2673	11381	7017	4212	6942	4438	8207	870	1752	542	1797	646	1024	5166	1962	5466	4801	4814	7927	12425	3357	1572	368	3922	2018	4395	5850	17247
Lachnospiraceae	1162	1168	1828	3025	2219	2818	3472	1984	2005	3447	8824	5389	3391	5439	6705	2550	4609	3552	1107	3560	1532	3458	2682	6235	9075	1480	3520	5010	6127	7808	3935	4650	3760	7196	7597	3379	11757	12650	4741	6213	11974	4962	4123	4066	3948	3893	5432	3782	4878	1782	3368	968	606	2214	2862	3223	4474	4439	3681	3104	1108	3651	3816	636	312	735	980	1125	780	12066	5366	7911	14073	7603	971	1560	3209	2396	5611	3355	1435	3455	8872	2948	2906	3278	1767	2284	2616	3617	9008	3953	6275	5902	6663	8040	9101	24703	4932	24729	3320	3507	2771	4162	3697	1849	1070	2110	1759	2437	2425	2027	2184	2305	1822	1958	1734	1627	1626	753	7566	1114	3796	5839	4206	4982	15152	4046	5811	5859	5651	7625	6088	4622	4206	4344	8167	5082	3406	2295	2679	2158	3022	3049	2707	9723	6229	9400	5442	4091	3747	4342	7197	3475	4025	5993	1945	5178	7399	4550	8789	5456	4046	3462	1376	5114	3676	3474	2081	3546	2756	5138	8913	5914	4778	3720	1685	5003	3731	4677	8052	4405	2900	4302	1274	682	5206	6002	4054	2763	4611	4991	806	863	1026	1453	1803	5816	9117	329	6266	2914	1962	5669	6662
Tannerellaceae	725	644	28	4329	1874	1003	1481	496	1549	1682	2677	683	620	919	564	875	124	177	428	323	917	0	148	179	235	810	4	0	271	273	575	416	246	1471	189	1115	263	124	0	0	0	0	0	550	2244	1333	2381	2458	2568	1747	1707	2820	333	660	287	1349	102	1538	777	877	713	631	1152	3952	2243	1919	3761	3454	4981	1878	692	3107	157	368	4967	2762	1769	1225	532	1114	1817	1605	3014	2663	2098	478	1208	891	1071	530	980	619	421	980	1870	0	0	0	0	0	475	183	263	105	38	2660	1892	2618	1960	547	488	506	1082	681	501	1230	787	1709	2340	1745	0	0	0	0	0	0	0	1557	1851	1090	95	2438	6090	6655	5286	5223	3737	5878	826	456	793	694	552	1439	1033	1494	1100	1137	1117	642	1126	1974	978	1305	1177	2696	2573	5369	1049	2459	2470	1120	3184	821	294	687	919	391	1142	750	3583	645	1563	267	526	1931	1191	408	1435	683	222	1349	2595	2533	869	818	868	760	850	855	941	799	1448	1833	2073	1990	2070	761	97	11	665	327	1377	711	2358
Enterobacteriaceae	10	20	4937	828	309	70	453	301	780	317	7	0	0	91	0	71	37	491	23	24	0	0	131	411	4971	8	5720	2207	11	8	209	20	27	38	37	192	121	59	64	1115	46	0	10	30	154	6	0	159	9	318	9	33	0	11	0	23	55	7	0	0	0	7	0	78	0	26	32	29	105	0	0	16	4	0	3126	4881	14174	3708	97	91	453	6892	5	15	49	960	250	233	97	68	444	367	1376	869	457	6029	2967	5923	10370	3264	771	1493	695	1137	4164	526	337	1510	1025	649	321	417	736	112	245	153	109	60	164	84	319	43	6	86	148	139	81	529	290	5133	6614	1025	91	74	89	44	10	129	147	165	178	230	190	0	0	0	0	56	0	0	167	9	3	1489	790	1485	2260	3	88	645	473	75	897	1620	685	1162	1112	1240	922	1006	1673	332	1645	1323	1028	0	0	2940	1390	10	37	0	525	1457	54	96	89	7303	7166	14087	9671	5139	41	65	118	54	40	25	0	17	7344	9770	11463	10893	14293
Ruminococcaceae	177	86	40	990	341	427	389	636	518	368	916	990	431	583	1226	606	1995	1140	17	206	497	0	18	1359	70	148	120	180	2396	3500	1594	1894	2216	1640	1683	206	1737	931	1453	919	2511	1103	2376	852	1278	1453	2384	2018	1955	366	303	685	21	72	78	61	247	1164	1648	871	565	812	764	1464	512	575	838	840	1017	3603	1740	2841	5016	2567	400	657	1270	1367	1573	921	206	814	2741	925	781	513	788	1173	370	856	2128	1039	1206	1268	976	55	28	0	0	23	389	592	572	553	548	376	231	237	248	905	1157	418	1215	263	1673	577	538	408	482	450	700	64	775	1449	1087	1796	1738	547	242	55	15	1216	1585	1360	1396	1109	1112	1360	926	618	931	593	1255	744	940	1766	1907	1257	1520	1434	1290	1725	1117	443	1126	1062	629	730	1158	2086	882	1138	1068	1535	552	1252	737	684	1011	762	563	1623	953	352	839	1694	1714	1229	58	584	169	681	960	1152	374	303	2330	565	518	568	309	540	1888	2061	1900	2475	2991	1235	640	151	1117	844	607	1114	1412
Marinifilaceae	0	0	0	26	28	2518	4054	4628	2530	3703	73	60	57	100	77	70	14	63	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	40	713	38	108	0	92	0	75	26	48	35	177	49	225	296	275	1352	873	347	48	216	31	97	0	0	0	0	0	0	0	391	257	248	569	479	706	0	0	0	0	0	47	70	84	17	98	171	251	53	9382	7215	6327	469	609	205	517	286	715	88	73	143	139	0	0	0	0	0	0	0	0	0	0	8848	3276	4760	2716	47	56	61	104	74	38	457	836	1173	688	1163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	556	1495	851	1442	0	0	0	0	0	511	386	1229	1479	575	178	483	369	488	74	46	12776	2844	6487	12091	214	106	152	154	221	1621	0	0	0	0	0	0	1125	2418	11	127	131	68	132	0	0	0	0	0	28	7	21	20	42	6394	12590	17095	13955	13545	19	4	0	121	91	58	292	634
Rikenellaceae	496	234	32	448	506	1225	1672	2876	1761	1526	595	559	517	795	821	315	135	310	290	0	678	0	26	511	275	374	55	0	685	958	1119	778	810	187	568	34	363	123	1606	480	2489	1753	1070	157	776	573	816	1770	1511	450	318	995	41	204	51	173	8	1162	830	1801	460	1393	1717	2031	967	795	1473	1393	2717	604	632	858	535	532	447	340	845	239	627	797	927	393	1665	414	560	2471	1226	898	1151	1898	1363	445	311	401	649	0	0	0	0	0	0	0	0	0	0	2178	1501	2298	1926	625	324	804	867	729	579	344	301	789	822	978	0	0	0	0	0	0	0	94	486	20	0	74	2028	1811	2192	1586	1319	1298	1417	715	1596	1330	915	538	387	1529	901	630	1268	1638	2755	3259	2085	516	676	835	1151	2539	1131	2419	1786	1534	1971	859	180	775	639	600	970	225	177	370	331	78	319	303	249	286	549	1404	768	1118	324	409	85	270	127	1738	1680	1403	920	1583	1435	1349	1638	1449	1628	1761	423	10	933	452	680	566	1857
Akkermansiaceae	1209	1986	6536	563	271	563	1214	2534	1578	1015	9	0	0	0	5	596	7	290	0	0	0	0	0	0	0	1167	0	0	0	74	478	50	140	0	0	0	0	7	1616	23	2	0	0	42	1829	380	0	0	303	0	0	2754	0	176	4360	2150	16255	914	543	945	322	1424	2182	2391	1389	2108	2899	2032	4058	12	8	19	712	808	363	42	155	4	21	66	189	80	99	0	28	5529	1653	1494	1591	3552	8	0	0	0	0	2	0	0	6	0	15	9	0	0	0	343	187	64	0	211	174	2282	173	2130	1046	25	781	250	1088	4645	3328	14	1248	1041	1665	1730	2191	0	0	0	0	0	0	0	0	0	0	0	2737	1232	3415	3931	3574	230	411	1802	544	1374	180	376	442	459	208	823	35	467	2535	0	0	5	16	7	18	1636	200	1943	965	151	2719	0	0	0	0	0	0	1153	1771	4035	2829	588	63	442	994	2317	321	308	1730	0	0	0	0	0	287	653	1427	795	1005	0	0	0	34	77	0	56	66
Oscillospiraceae	264	374	25	389	388	301	452	556	317	387	363	412	299	496	646	476	827	1375	43	269	117	84	58	118	141	293	141	94	1031	1239	657	677	901	284	847	85	280	293	1025	554	1919	740	286	89	810	588	631	1427	1318	221	180	400	23	58	72	42	100	190	271	690	87	349	716	644	220	249	339	491	632	91	86	188	97	90	118	162	242	171	508	384	361	51	476	559	363	289	622	464	200	562	380	372	207	414	285	0	0	0	0	0	367	370	152	317	114	645	443	670	307	404	231	377	384	159	541	473	603	625	360	647	54	0	370	267	241	426	348	393	641	96	42	502	826	390	1166	427	276	491	1201	1262	1899	802	2256	133	213	563	628	274	630	749	834	694	724	318	811	523	446	472	956	344	274	546	507	1357	618	1503	868	1704	907	221	81	508	297	182	187	652	774	240	88	374	140	172	100	446	76	164	365	381	287	339	538	232	738	1353	1695	1169	922	810	215	35	580	499	366	301	432
Streptococcaceae	68	106	139	906	593	0	0	0	0	0	64	188	84	96	487	0	3	0	0	0	0	25	29	21	856	80	481	109	172	56	170	449	113	7	0	4	21	16	3	0	0	0	4	0	11	18	27	26	19	6	8	314	0	0	13	7	33	14	0	13	0	10	0	356	162	268	259	375	335	214	93	155	104	81	0	0	24	0	76	12	4	5	0	0	0	6	12	7	8	14	469	115	460	351	204	1775	141	201	18	137	105	217	495	239	527	0	0	0	0	0	0	0	0	21	5	5489	3647	2671	4008	1529	409	254	155	388	242	329	1538	63	36	0	23	79	614	772	332	74	234	715	755	138	397	170	559	262	80	434	116	679	0	4	0	0	8	6	0	17	0	6	138	107	36	34	51	0	0	0	0	0	0	140	204	351	843	415	531	0	3	3	19	27	84	58	6	58	27	22	226	0	0	0	0	0	117	182	214	571	588	1731	457	85	2539	6961	3265	3718	2019
