Genus	NW001-1	NW001-3	NW001-4	NW002-1	NW002-2	NW003-1	NW003-2	NW003-3	NW003-4	NW003-5	NW005-1	NW005-2	NW005-3	NW005-4	NW005-5	NW006-1	NW006-2	NW006-3	NW007-1	NW007-2	NW007-4	NW007-5	NW007-6	NW008-1	NW010-1	NW010-2	NW010-4	NW010-5	NW011-1	NW011-2	NW011-4	NW011-5	NW011-6	NW012-1	NW012-3	NW012-4	NW012-5	NW012-6	NW013-1	NW013-2	NW013-3	NW013-4	NW013-5	NW014-1	NW015-1	NW015-2	NW015-3	NW015-5	NW015-6	NW016-1	NW016-2-1	NW016-2-2	NW016-2-3	NW016-3	NW016-4-1	NW016-4-2	NW016-5	NW018-1	NW018-2	NW018-3-1	NW018-3-2	NW018-4	NW018-5	NW019-1	NW019-2-1	NW019-2-2	NW019-3	NW019-4	NW019-5	NW020-1	NW020-2	NW020-3	NW020-5	NW020-6	NW021-3	NW021-5	NW021-6	NW022-1	NW022-4	NW022-5-1	NW022-5-2	NW022-6	NW023-1	NW023-3	NW023-4	NW023-6	NW025-1	NW025-2	NW025-3	NW025-4	NW026-1	NW026-2	NW026-3	NW026-4	NW026-5	NW027-1	NW027-2	NW027-3	NW027-5	NW027-6	NW028-1	NW028-2	NW028-3	NW028-4	NW028-5	NW029-1	NW029-2	NW029-3	NW029-5	NW030-1	NW030-2	NW030-4	NW030-5-1	NW030-5-2	NW030-6	NW031-1	NW031-2	NW031-3	NW031-4	NW031-5	NW032-1	NW032-2	NW032-3	NW032-4-1	NW032-4-2	NW032-4-3	NW032-5	NW033-1	NW033-2	NW033-3	NW033-4	NW033-5	NW034-1	NW034-2-1	NW034-2-2	NW034-3	NW034-4	NW034-5	NW035-1	NW035-2	NW035-4-1	NW035-4-2	NW035-5	NW036-1	NW036-2	NW036-3	NW036-4	NW036-5	NW038-1	NW038-2	NW038-3	NW038-4	NW038-5	NW040-1	NW040-2-1	NW040-2-2	NW040-3	NW041-1	NW041-2	NW042-1	NW042-3	NW042-4	NW042-5	NW043-1	NW043-3	NW043-4-1	NW043-4-2	NW043-6	NW044-1	NW045-1	NW045-2	NW045-3	NW045-4-1	NW045-4-2	NW045-5	NW046-1	NW046-5	NW047-4	NW047-5	NW048-1	NW048-5-1	NW048-5-2	NW049-1	NW049-2	NW049-3	NW049-4	NW049-5	NW050-1	NW050-2	NW050-3	NW050-4	NW050-5	NW051-1	NW051-2	NW051-3	NW051-5	NW051-6	NW052-1	NW052-2	NW052-4	NW053-1	NW053-2	NW053-3	NW053-4	NW053-5
Bacteroides	4870	2923	251	0	0	3269	3513	2036	3216	4331	8107	2805	2584	2731	3247	1822	400	1592	7019	4725	3824	4302	2495	2283	9060	5373	125	19	7256	10242	10087	11539	13471	5234	3899	8118	6139	2097	7879	17134	15182	7641	10979	3906	6449	2411	5979	7503	5641	6236	6971	4101	2015	5026	1814	6958	179	11658	7758	11329	3754	8928	11713	4195	2651	2723	5849	6534	4555	693	852	1272	2126	7000	12881	8958	9578	4603	3091	4255	7048	4875	19547	4026	5502	4858	5492	3113	6906	9548	2935	3677	3159	6460	10433	13	0	0	7	9	9105	5973	4121	5449	3478	5399	5752	3964	6127	8637	5527	6440	10236	6693	10395	5855	3519	5252	5638	6597	0	5387	8667	14625	13734	18354	13837	15175	10293	3061	227	18638	9990	6172	7418	12508	6692	7888	1360	1745	2046	2846	1030	8971	4821	9995	8484	8666	2274	1879	2309	2611	2904	4796	4747	4424	3298	6462	10772	1728	1889	598	1011	1847	638	1281	1838	2299	6026	5774	3168	5610	4058	1539	2388	3479	3451	2673	11381	7017	4212	6942	4438	8207	870	1752	542	1797	646	1024	5166	1962	5466	4801	4814	7927	12425	3357	1572	368	3922	2018	4395	5850	17247
Unknown	563	658	1225	1461	950	870	1182	646	609	610	2027	1243	614	1092	1375	967	1797	1684	675	1964	253	674	419	1530	7428	602	5479	4101	3380	3785	1861	2648	2236	2724	2640	3044	2342	1660	3399	4133	8535	2697	1477	1834	2330	1859	2966	2034	2823	4082	1840	1433	411	1180	1824	1825	2069	1199	1178	1426	259	1219	1629	1878	951	983	1423	1721	2848	3721	1672	2679	5026	2781	1317	2041	5568	4292	1601	1016	934	8482	3723	1556	1394	2336	1311	1469	806	2128	3575	1614	2998	3135	2457	7861	2600	3436	6981	4802	1278	1303	1211	1268	1131	1914	1095	2182	1522	713	512	726	886	728	2071	856	854	405	395	360	2826	531	2139	2054	2154	2512	4288	1989	3367	3590	3581	3444	5412	7574	6206	5670	7807	8558	3773	2905	4741	4439	6713	1018	1155	3205	2741	2324	2760	2091	1483	1846	1830	1312	1461	1909	1977	1772	4152	2426	3023	2229	2478	2692	1136	3316	3303	2030	1891	2064	1020	2107	2408	2396	2004	3247	1994	2043	1845	1432	1809	973	842	1865	372	247	1906	2198	1775	2877	2825	1434	746	1005	1217	998	1172	1737	1956	136	2002	1424	1612	1658	2384
Parabacteroides	659	584	28	192	48	1003	1481	496	1549	1682	1865	444	388	583	420	234	124	111	342	298	702	0	28	179	235	727	4	0	271	273	575	416	246	1471	189	1115	263	124	0	0	0	0	0	550	1986	1172	2276	2099	2168	1747	1707	2418	333	660	287	1349	102	1538	777	877	713	631	1152	3183	1975	1577	3057	2939	3335	0	0	0	0	0	4967	2762	1769	1200	468	954	1629	1586	2175	2195	1385	478	1208	891	1071	530	980	619	421	980	1870	0	0	0	0	0	475	183	263	105	38	561	1074	891	733	547	488	506	1082	681	501	1177	735	1399	1892	1287	0	0	0	0	0	0	0	1557	1851	1090	95	2438	5998	6540	5205	5114	3621	5762	513	253	500	339	218	1439	1033	1494	1100	1137	1117	642	1126	1974	978	1235	1152	2527	1404	5369	1002	1949	2257	801	2099	718	272	589	736	340	927	750	3583	645	1563	267	526	1931	1191	408	1435	663	175	1262	2595	2533	869	818	868	760	850	855	941	799	1448	1833	2073	1990	2070	0	0	0	425	191	1213	586	2054
Odoribacter	0	0	0	0	0	2518	4054	4628	2530	3703	41	41	36	68	61	42	7	32	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	21	713	20	94	0	92	0	75	26	48	35	156	36	186	260	235	1174	772	124	48	167	31	82	0	0	0	0	0	0	0	176	118	101	198	131	341	0	0	0	0	0	0	0	0	17	66	142	153	31	9204	7165	6276	270	514	139	346	202	639	44	55	93	117	0	0	0	0	0	0	0	0	0	0	8334	2973	4418	2400	47	56	61	104	74	38	400	734	1064	605	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	537	1469	817	1411	0	0	0	0	0	444	323	1149	1378	432	88	156	175	123	74	46	12669	2765	6348	11961	52	49	33	29	88	1557	0	0	0	0	0	0	1125	2418	11	127	59	21	41	0	0	0	0	0	28	7	21	20	42	6292	12468	16985	13852	13408	19	4	0	0	0	0	0	0
Escherichia-Shigella	0	0	32	785	270	57	393	256	646	267	7	0	0	77	0	71	37	491	23	24	0	0	0	377	1733	0	1842	1045	11	8	18	11	27	38	37	192	61	59	64	909	13	0	10	24	35	0	0	129	9	298	9	18	0	11	0	23	39	7	0	0	0	7	0	15	0	18	18	16	21	0	0	16	4	0	2040	2889	8880	73	97	61	263	36	5	15	49	228	133	198	78	60	0	0	0	32	18	4996	2431	1600	697	934	744	1409	657	1061	3927	456	286	1272	831	0	0	0	0	0	0	75	88	60	148	69	142	43	6	86	0	13	20	529	290	5133	6614	1025	91	74	89	44	10	116	34	83	105	47	101	0	0	0	0	0	0	0	167	9	3	631	353	624	942	3	72	530	387	71	740	1098	417	706	551	906	0	851	1394	268	1369	1123	869	0	0	2384	1158	10	0	0	248	1457	54	96	72	6179	6042	11916	8047	4383	20	21	39	36	28	15	0	0	6781	8956	10559	10082	13040
Akkermansia	1209	1986	6536	563	271	563	1214	2534	1578	1015	9	0	0	0	5	596	7	290	0	0	0	0	0	0	0	1167	0	0	0	74	478	50	140	0	0	0	0	7	1616	23	2	0	0	42	1829	380	0	0	303	0	0	2754	0	176	4360	2150	16255	914	543	945	322	1424	2182	2391	1389	2108	2899	2032	4058	12	8	19	712	808	363	42	155	4	21	66	189	80	99	0	28	5529	1653	1494	1591	3552	8	0	0	0	0	2	0	0	6	0	15	9	0	0	0	343	187	64	0	211	174	2282	173	2130	1046	25	781	250	1088	4645	3328	14	1248	1041	1665	1730	2191	0	0	0	0	0	0	0	0	0	0	0	2737	1232	3415	3931	3574	230	411	1802	544	1374	180	376	442	459	208	823	35	467	2535	0	0	5	16	7	18	1636	200	1943	965	151	2719	0	0	0	0	0	0	1153	1771	4035	2829	588	63	442	994	2317	321	308	1730	0	0	0	0	0	287	653	1427	795	1005	0	0	0	34	77	0	56	66
Blautia	372	212	403	763	576	612	836	269	31	68	2255	1638	988	1393	1864	152	518	639	41	334	320	468	342	3341	1098	443	347	713	350	543	511	331	280	1096	959	291	2965	2722	1351	23	1340	1368	1490	440	978	1224	1519	999	1381	467	797	131	106	714	606	852	1923	731	373	292	102	271	409	140	43	148	101	126	51	3391	1196	1970	3520	1402	58	201	595	280	895	389	84	645	629	403	177	293	268	355	877	496	1418	605	1002	471	1201	0	0	0	0	0	767	737	432	554	577	89	17	39	271	621	573	346	254	264	446	668	410	175	349	209	3005	372	780	796	801	890	4305	242	575	1150	1349	345	1011	1074	904	1369	1937	1057	62	81	43	43	75	1308	799	3223	1131	4193	631	582	725	798	1801	469	628	621	134	996	1219	1675	4481	2931	1484	350	152	671	441	553	259	358	369	746	2552	1492	924	0	0	2289	302	691	1374	1830	471	812	111	93	1158	493	400	388	556	648	231	300	534	506	651	1177	1774	30	1478	1164	284	1239	1087
Alistipes	496	234	32	448	506	1225	1672	2876	1761	1526	571	559	513	795	810	315	135	310	290	0	678	0	26	511	275	374	55	0	685	958	1119	778	810	187	568	34	363	123	534	283	821	703	435	157	776	573	816	1770	1511	450	318	995	41	204	51	173	8	1162	830	1801	460	1393	1717	2031	967	795	1473	1393	2717	604	632	858	535	532	447	340	845	210	322	541	689	371	1431	357	412	2471	1226	898	1151	1898	1363	445	311	401	649	0	0	0	0	0	0	0	0	0	0	2178	1501	2298	1926	625	324	804	867	729	579	344	301	789	822	978	0	0	0	0	0	0	0	94	486	20	0	74	2028	1811	2192	1586	1319	1298	174	128	257	375	245	538	387	1529	901	630	1258	1638	2738	3250	2072	516	662	830	1147	2539	1131	2419	1786	1534	1971	859	180	775	639	600	970	225	177	370	331	78	319	303	249	286	549	1404	768	1118	324	409	85	270	127	1738	1680	1403	920	1583	1435	1349	1638	1449	1628	1761	423	10	933	452	680	566	1857
[Ruminococcus]_torques_group	33	40	49	287	198	383	515	575	836	2014	1160	357	276	1206	1376	804	435	470	102	275	295	906	1860	866	287	50	229	369	60	164	260	132	49	327	552	153	1253	1059	209	538	2148	811	513	81	28	46	43	22	41	37	42	31	0	13	10	0	24	477	207	307	99	306	398	131	30	27	39	71	267	1438	805	863	1055	581	162	571	288	257	296	400	358	316	2582	545	1203	179	99	318	304	550	388	176	251	181	544	0	0	0	0	0	174	272	86	257	421	392	127	759	210	383	510	399	437	686	566	250	149	958	726	89	641	29	186	881	581	636	1599	679	902	347	135	2736	1706	866	813	625	1185	234	336	249	132	134	183	210	341	1383	773	1049	508	424	554	500	1431	1559	1354	3295	1186	1297	1221	185	502	483	524	225	20	64	26	121	249	72	309	437	544	247	106	166	14	478	53	442	484	238	94	284	44	52	434	91	125	181	91	37	62	57	79	30	49	968	1296	66	1321	370	618	1583	3135
Faecalibacterium	9	12	13	325	40	194	158	113	87	63	295	315	121	128	384	37	931	158	17	170	434	0	16	610	0	12	0	0	1732	2422	1153	1471	1808	1089	469	182	496	137	227	493	831	245	1206	654	395	413	1189	423	474	0	0	222	0	0	0	0	0	779	1244	447	403	438	355	229	91	191	177	81	74	2003	1129	1774	3781	1842	44	144	143	1041	656	486	79	665	190	311	76	0	0	0	0	0	1133	750	915	834	710	0	0	0	0	0	207	106	416	362	158	61	50	11	89	831	1044	305	1005	117	68	113	200	14	0	8	151	59	322	263	504	900	356	0	0	0	0	0	336	773	274	416	491	370	0	47	19	18	24	465	718	1221	1584	891	1076	862	544	717	340	176	481	476	9	14	44	334	37	38	81	696	297	635	229	235	303	311	162	590	311	195	224	56	71	552	4	192	63	378	311	390	200	44	680	203	147	203	68	238	287	370	311	455	394	150	148	73	566	132	180	689	845
