Sample,Drug_Class_plot,rel_reads
NW001_3,Other,0.0238201573123584
NW001_3,Aminocoumarin antibiotic,0.0203084033240012
NW001_3,Aminoglycoside antibiotic,0.0598809047682531
NW001_3,Cephalosporin,0.185699314165519
NW001_3,Diaminopyrimidine antibiotic,0.026420181012902
NW001_3,Disinfecting agents and antiseptics,0.00603438060110504
NW001_3,Fluoroquinolone antibiotic,0.0110796338266009
NW001_3,Lincosamide antibiotic,0.0106874638937031
NW001_3,Macrolide antibiotic,0.0191530018219793
NW001_3,Nucleoside antibiotic,0.0049104563835933
NW001_3,Penicillin beta-lactam,0.00632323097661053
NW001_3,Peptide antibiotic,0.00875438830378172
NW001_3,Phenicol antibiotic,0.00420499488957028
NW001_3,Rifamycin antibiotic,0.0406001422032618
NW001_3,Streptogramin antibiotic,0.00751010976314269
NW001_3,Tetracycline antibiotic,0.564613236753618
NW002_2,Other,0.0819988199719743
NW002_2,Aminocoumarin antibiotic,0.0247702632937532
NW002_2,Aminoglycoside antibiotic,0.0798460063426506
NW002_2,Cephalosporin,0.0154835902352681
NW002_2,Diaminopyrimidine antibiotic,0.00649664429530201
NW002_2,Disinfecting agents and antiseptics,0.0163810015487868
NW002_2,Fluoroquinolone antibiotic,0.036758758020503
NW002_2,Lincosamide antibiotic,0.0644474272930649
NW002_2,Macrolide antibiotic,0.0819802345305701
NW002_2,Nucleoside antibiotic,0.0116778523489933
NW002_2,Penicillin beta-lactam,0.0249377289377289
NW002_2,Peptide antibiotic,0.0271480197654694
NW002_2,Phenicol antibiotic,0.00475684047496128
NW002_2,Rifamycin antibiotic,0.0306628807434177
NW002_2,Streptogramin antibiotic,0.0327695749440716
NW002_2,Tetracycline antibiotic,0.459884357253485
NW003_3,Other,0.0250884527065725
NW003_3,Aminocoumarin antibiotic,0.0223312975383117
NW003_3,Aminoglycoside antibiotic,0.0331516997371844
NW003_3,Cephalosporin,0.029303672460029
NW003_3,Diaminopyrimidine antibiotic,0.0131514856307842
NW003_3,Disinfecting agents and antiseptics,0.00969937677195349
NW003_3,Fluoroquinolone antibiotic,0.0296608733043219
NW003_3,Lincosamide antibiotic,0.0351680467608378
