"Drug_Class_plot","n_samples","spearman_rho","p_value","p_adj_BH"
"Rifamycin antibiotic",46,-0.682762873882208,1.7226389851501e-07,2.75622237624015e-06
"Tetracycline antibiotic",46,-0.605303731113167,8.33197686826895e-06,6.66558149461516e-05
"Penicillin beta-lactam",46,0.540672217082948,0.000104863207378807,0.000559270439353637
"Aminocoumarin antibiotic",41,0.544599303135889,0.00023215623726765,0.000777801306014319
"Aminoglycoside antibiotic",46,0.515880357693494,0.000243062908129475,0.000777801306014319
"Disinfecting agents and antiseptics",44,0.498520084566596,0.000573101808106839,0.0015282714882849
"Fluoroquinolone antibiotic",45,0.483135704874835,0.000774688042742123,0.00177071552626771
"Macrolide antibiotic",46,0.450878815911193,0.00166278452592744,0.00332556905185489
"Nucleoside antibiotic",40,0.460975609756097,0.00275721347725567,0.00443105409109397
"Peptide antibiotic",42,0.45028765902277,0.00276940880693373,0.00443105409109397
"Other",46,0.422386679000925,0.00345418025229027,0.00502426218514948
"Diaminopyrimidine antibiotic",45,-0.316337285902503,0.0342562894864247,0.0456750526485663
"Phenicol antibiotic",44,0.249753347427766,0.102046858487613,0.125596133523216
"Lincosamide antibiotic",46,-0.200123342584027,0.182372958654282,0.208426238462036
"Cephalosporin",46,-0.187912426765341,0.211085701981843,0.225158082113965
"Streptogramin antibiotic",46,-0.0158495220474869,0.916737011656058,0.916737011656058
