sample	file	path	Total_reads	Mapped_reads	Both_pairs_mapped
NW001_3_all.txt	NW001_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW001_3_all/NW001_3_all.overall_mapping_stats.txt	3472590	2123	1792
NW002_2_all.txt	NW002_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW002_2_all/NW002_2_all.overall_mapping_stats.txt	3064595	4066	3527
NW003_3_all.txt	NW003_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW003_3_all/NW003_3_all.overall_mapping_stats.txt	2734583	2466	2140
NW005_3_all.txt	NW005_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW005_3_all/NW005_3_all.overall_mapping_stats.txt	2535811	1630	1298
NW006_3_all.txt	NW006_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW006_3_all/NW006_3_all.overall_mapping_stats.txt	3480761	1787	1411
NW007_2_all.txt	NW007_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW007_2_all/NW007_2_all.overall_mapping_stats.txt	2885310	2590	2255
NW008_1_all.txt	NW008_1_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW008_1_all/NW008_1_all.overall_mapping_stats.txt	3112772	2455	2075
NW010_2_all.txt	NW010_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW010_2_all/NW010_2_all.overall_mapping_stats.txt	1688249	1062	864
NW011_2_all.txt	NW011_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW011_2_all/NW011_2_all.overall_mapping_stats.txt	3652273	3512	3059
NW012_3_all.txt	NW012_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW012_3_all/NW012_3_all.overall_mapping_stats.txt	3790059	2458	2071
NW013_3_all.txt	NW013_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW013_3_all/NW013_3_all.overall_mapping_stats.txt	3326063	2881	2518
NW014_1_all.txt	NW014_1_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW014_1_all/NW014_1_all.overall_mapping_stats.txt	4242050	2060	1764
NW015_3_all.txt	NW015_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW015_3_all/NW015_3_all.overall_mapping_stats.txt	4591725	2704	2371
NW016_1_all.txt	NW016_1_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW016_1_all/NW016_1_all.overall_mapping_stats.txt	4370781	12705	11668
NW016_2_2_all.txt	NW016_2_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW016_2_2_all/NW016_2_2_all.overall_mapping_stats.txt	4575582	2972	2474
NW016_5_all.txt	NW016_5_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW016_5_all/NW016_5_all.overall_mapping_stats.txt	4615905	1764	1461
NW018_3_2_all.txt	NW018_3_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW018_3_2_all/NW018_3_2_all.overall_mapping_stats.txt	3236422	2589	2252
NW019_3_all.txt	NW019_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW019_3_all/NW019_3_all.overall_mapping_stats.txt	3092209	2050	1729
NW020_3_all.txt	NW020_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW020_3_all/NW020_3_all.overall_mapping_stats.txt	3618232	3708	3366
NW021_3_all.txt	NW021_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW021_3_all/NW021_3_all.overall_mapping_stats.txt	3704970	9171	8218
NW022_4_all.txt	NW022_4_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW022_4_all/NW022_4_all.overall_mapping_stats.txt	4294369	2928	2458
NW023_3_all.txt	NW023_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW023_3_all/NW023_3_all.overall_mapping_stats.txt	4356413	3576	3058
NW025_3_all.txt	NW025_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW025_3_all/NW025_3_all.overall_mapping_stats.txt	4093451	3291	2846
NW026_3_all.txt	NW026_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW026_3_all/NW026_3_all.overall_mapping_stats.txt	4007438	3820	3260
NW027_2_all.txt	NW027_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW027_2_all/NW027_2_all.overall_mapping_stats.txt	5166056	11315	10500
NW028_3_all.txt	NW028_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW028_3_all/NW028_3_all.overall_mapping_stats.txt	4834985	7167	6448
NW029_3_all.txt	NW029_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW029_3_all/NW029_3_all.overall_mapping_stats.txt	3261949	3801	3475
NW030_2_all.txt	NW030_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW030_2_all/NW030_2_all.overall_mapping_stats.txt	3618043	2813	2429
NW031_3_all.txt	NW031_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW031_3_all/NW031_3_all.overall_mapping_stats.txt	3730283	4427	3869
NW032_3_all.txt	NW032_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW032_3_all/NW032_3_all.overall_mapping_stats.txt	3293798	1890	1609
NW033_2_all.txt	NW033_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW033_2_all/NW033_2_all.overall_mapping_stats.txt	3609784	4647	4133
NW034_3_all.txt	NW034_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW034_3_all/NW034_3_all.overall_mapping_stats.txt	3805461	5725	5112
NW035_2_all.txt	NW035_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW035_2_all/NW035_2_all.overall_mapping_stats.txt	3504766	2424	2071
NW036_3_all.txt	NW036_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW036_3_all/NW036_3_all.overall_mapping_stats.txt	3290022	3183	2826
NW038_3_all.txt	NW038_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW038_3_all/NW038_3_all.overall_mapping_stats.txt	3427941	2117	1816
NW040_3_all.txt	NW040_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW040_3_all/NW040_3_all.overall_mapping_stats.txt	3451604	4655	4038
NW041_2_all.txt	NW041_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW041_2_all/NW041_2_all.overall_mapping_stats.txt	4271581	2297	1954
NW042_3_all.txt	NW042_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW042_3_all/NW042_3_all.overall_mapping_stats.txt	5975602	5439	4891
NW043_3_all.txt	NW043_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW043_3_all/NW043_3_all.overall_mapping_stats.txt	4295723	4054	3461
NW044_1_all.txt	NW044_1_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW044_1_all/NW044_1_all.overall_mapping_stats.txt	3441595	4160	3672
NW045_3_all.txt	NW045_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW045_3_all/NW045_3_all.overall_mapping_stats.txt	5165512	6749	6124
NW046_5_all.txt	NW046_5_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW046_5_all/NW046_5_all.overall_mapping_stats.txt	2505966	2040	1716
NW047_4_all.txt	NW047_4_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW047_4_all/NW047_4_all.overall_mapping_stats.txt	2775537	5650	5170
NW048_5_1_all.txt	NW048_5_1_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW048_5_1_all/NW048_5_1_all.overall_mapping_stats.txt	3816688	2873	2500
NW049_3_all.txt	NW049_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW049_3_all/NW049_3_all.overall_mapping_stats.txt	3814809	2712	2294
NW050_3_all.txt	NW050_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW050_3_all/NW050_3_all.overall_mapping_stats.txt	2097318	17351	15454
NW051_3_all.txt	NW051_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW051_3_all/NW051_3_all.overall_mapping_stats.txt	3879380	3575	3147
NW052_2_all.txt	NW052_2_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW052_2_all/NW052_2_all.overall_mapping_stats.txt	3205203	1332	1079
NW053_3_all.txt	NW053_3_all.overall_mapping_stats.txt	/scratch/sunzz/Nursing_House/rgi_out/NW053_3_all/NW053_3_all.overall_mapping_stats.txt	2624822	15935	14383
