Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
Bacteroidaceae	28.86835	0	12.90724	19.96928	2.51701	24.97345	11.59387	41.15853	27.26818	18.23494	30.13641	26.8335	27.06291	30.2387	15.82434	2.25567	48.2447	18.27033	6.33427	46.81907	12.48116	11.07155	43.41352	22.65992	0	27.60254	10.59594	54.60026	14.61145	42.85587	39.56082	45.88441	6.13226	39.51893	8.4157	11.02251	32.09421	8.21151	3.85732	24.42072	29.90322	7.2433	22.56277	38.64419	20.29627	3.25413	9.14594	11.60097	12.33078
Acidaminococcaceae	20.96996	0	0	1.50819	0.07005	1.67899	6.44456	15.86068	0	0	0	1.22553	0	2.17341	3.47656	1.14153	0	3.09603	0	3.47972	0.32119	1.9646	1.01866	2.48874	0	0	2.56877	0	0	1.92995	0	0.27111	2.73188	3.79452	1.69057	1.32547	3.30136	1.1396	2.03025	1.03558	1.27089	0.03488	3.83181	2.23115	1.08722	0.13399	0.50706	1.5621	0.27733
Akkermansiaceae	14.76302	2.1738	13.13449	0	0.8007	0	0	8.71651	0.13448	0	0	0.40499	0	0	12.36166	52.04993	3.75918	12.54016	0.01034	2.90077	0.04177	0.04742	8.70084	0	0	0	0.19819	1.14959	1.26732	5.25374	0	0	5.08938	6.21399	2.12549	8.57021	0	0	1.40672	8.81314	0	6.35351	19.33191	0.40993	5.93962	0	3.11629	0	0
Rikenellaceae	6.81077	7.01706	26.19822	9.06871	1.22296	0.02806	7.76292	6.01105	5.08679	5.44986	6.39196	2.99928	6.62797	5.12354	11.86813	0.13984	15.47676	12.93598	8.48522	7.40283	3.05342	4.31381	19.73806	4.33122	0	0	22.0904	6.63563	6.98236	0	4.64269	9.18926	2.15689	10.12425	21.34417	10.44205	8.15405	14.7568	4.12718	9.28897	4.1408	1.43119	3.53223	9.43322	6.58512	13.61836	8.26163	8.10669	8.91388
Coriobacteriaceae	6.42286	0	0	1.28212	4.44454	0	3.69219	9.7859	0	0.98928	0	0.40487	0	0.04437	0.15733	0.43587	0.31528	0.16309	2.00119	0	9.00455	0	0.06721	0.22199	0	0	0	0	0.58535	0	0	0	1.30531	0.15422	0.35274	1.38876	6.80196	0	0.21093	0.30236	0.28584	1.3481	4.46037	0.96513	0	0	2.34187	0.21099	0.27593
Lachnospiraceae	5.69045	17.44532	6.55121	32.74598	4.96752	18.88436	26.28642	6.1558	17.04286	19.20649	16.14836	31.6071	15.23351	5.87009	4.1057	23.98135	9.03876	3.11566	25.62897	6.49721	20.89387	8.25826	6.81372	24.51329	68.64029	22.35465	8.9191	11.10158	5.97132	17.19763	21.7807	11.97262	2.67875	18.62808	9.88077	6.83253	19.57054	33.41062	8.7801	2.98933	14.6163	6.47547	15.13478	23.51301	35.72268	11.9777	0.95821	36.6858	15.10207
Oscillospiraceae	4.08548	10.50869	10.78118	14.74642	14.67395	6.22499	15.43111	3.76609	18.3588	19.76075	25.67278	7.6554	17.2966	6.48943	8.56615	3.32733	5.62954	9.1214	14.41075	10.05316	18.5698	8.52114	3.97621	10.04266	0	5.38814	3.31905	11.5027	12.28795	5.9741	9.27746	5.47408	11.87599	10.1206	12.37645	8.02318	12.76355	9.28286	19.1194	13.48379	12.07487	23.9097	9.02672	0.5354	12.21983	6.70376	10.54969	9.65259	12.36241
Tannerellaceae	2.64508	9.46185	2.11217	3.2565	0.05991	0.90078	0.52048	2.70433	0.44083	0.32007	0	2.80867	5.54215	5.06927	8.96837	0.226	4.04781	9.44232	13.53956	8.59167	1.00366	5.04502	3.29834	1.50852	0	1.90452	5.62158	2.63065	3.98199	0	5.48894	9.9283	1.28063	2.36542	2.39232	6.91196	1.42002	5.51751	1.16956	2.41431	1.71943	1.8186	0.77201	0.66267	6.02311	1.76476	2.80868	0.56712	3.2845
Desulfovibrionaceae	1.70811	0	0.73164	0.90112	0.60526	0.45835	0.21392	1.07352	0	0	0.54427	0.76539	0.71822	1.1288	1.08358	0.29506	0.70173	0.61334	0	0.34438	0.47432	0.69954	0.09659	0.2083	0	0	2.3046	0.34383	0.21228	1.10466	0	0.22084	0.45598	0.04016	1.385	1.04229	0.63437	0.91832	0.89589	0.59246	0.56476	0.25348	1.2479	3.63796	0.51084	0.07085	0.45055	1.06295	0.41681
Eubacteriales_unclassified	1.69485	2.73165	0.3757	2.9652	0.44044	0.18953	1.23683	1.01485	0.89243	0.97781	0.04764	0.98739	1.37776	0.24961	0.16337	1.12546	1.30132	0.11465	2.13229	0.37716	0.78471	1.17742	0.2709	0.61711	0	1.9654	0.70308	0.50516	0.15798	2.52818	1.42887	1.36605	8.19302	2.12031	1.25076	0.58727	0.67164	1.42855	0.98465	0.6278	1.4499	0.71502	1.31594	1.02386	3.18827	0.27141	0.4223	1.28734	0.53506
