Taxa_Name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
Bacteroides	23.43497	0	12.90724	8.55082	1.3795	12.83758	5.576	33.09875	15.6244	17.28545	21.41855	9.49366	20.30424	14.31995	6.79268	1.83222	37.79528	9.5334	6.33427	28.10017	11.38986	5.43792	37.70321	13.86756	0	10.33757	6.52866	42.59218	9.27087	42.85587	7.78669	29.78576	3.73465	32.93281	2.83937	6.72983	30.52504	8.21151	1.85096	17.10074	18.31928	4.03867	14.91029	9.40149	20.29627	0.39103	5.3138	7.07104	5.69261
Acidaminococcus	17.34089	0	0	0	0	0	0	12.346	0	0	0	0	0	0	2.25885	0	0	2.41986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15164	0	0.39253	0	0	0	0	0	0.35864	0	0
Akkermansia	14.76302	2.1738	13.13449	0	0.8007	0	0	8.71651	0.13448	0	0	0.40499	0	0	12.36166	52.04993	3.75918	12.54016	0.01034	2.90077	0.04177	0.04742	8.70084	0	0	0	0.19819	1.14959	1.26732	5.25374	0	0	5.08938	6.21399	2.12549	8.57021	0	0	1.40672	8.81314	0	6.35351	19.33191	0.40993	5.93962	0	3.11629	0	0
Alistipes	6.81077	6.71234	26.19822	8.71603	0.93633	0.02806	7.76292	6.01105	5.08679	5.44986	6.39196	2.99928	0.73901	5.12354	11.86813	0.13984	15.47676	12.93598	5.34379	7.40283	3.05342	4.31381	19.73806	4.33122	0	0	20.35431	6.63563	6.98236	0	4.64269	9.18926	2.08066	2.38016	21.34417	10.44205	8.15405	6.95769	4.12718	9.16551	4.1408	1.43119	3.53223	8.67849	6.58512	13.61836	8.26163	8.10669	8.91388
Collinsella	6.42286	0	0	1.26873	2.8395	0	3.69219	9.7859	0	0.98928	0	0.40487	0	0.04437	0.10565	0.43587	0.31528	0.10314	2.00119	0	8.60545	0	0.06721	0.22199	0	0	0	0	0.45263	0	0	0	1.30531	0.15422	0.35274	1.38876	6.80196	0	0.20227	0.30236	0.28584	1.3481	4.46037	0.96513	0	0	2.34187	0.21099	0.27593
Phocaeicola	5.43338	0	0	11.41846	1.13751	12.13587	6.01787	8.05978	11.64378	0.94949	8.71785	17.33985	6.75867	15.91875	9.03167	0.42345	10.44942	8.73693	0	18.7189	1.0913	5.63363	5.71031	8.79236	0	17.26498	4.06728	12.00808	5.34058	0	31.77413	0	2.39761	6.58612	4.16359	4.29268	1.56916	0	2.00637	7.31998	11.58394	3.20463	7.65248	29.24271	0	2.8631	3.83214	4.52992	6.63817
Phascolarctobacterium	3.62907	0	0	1.50819	0.07005	1.67899	0	3.51469	0	0	0	1.22553	0	2.17341	1.21771	1.14153	0	0.67617	0	3.47972	0.32119	0	1.01866	2.48874	0	0	0	0	0	1.92995	0	0.27111	0	3.79452	1.69057	1.32547	3.30136	1.1396	1.87861	1.03558	0	0	3.83181	2.23115	1.08722	0.13399	0.14842	1.5621	0.27733
Parabacteroides	2.64508	9.46185	2.11217	3.2565	0	0.90078	0.52048	2.70433	0.44083	0.32007	0	2.80867	5.54215	5.06927	8.96837	0.226	4.04781	9.44232	13.53956	8.59167	1.00366	5.04502	3.29834	1.50852	0	1.90452	5.62158	2.63065	3.98199	0	5.48894	9.9283	1.28063	2.36542	2.39232	6.91196	1.42002	5.51751	1.16956	2.41431	1.71943	1.8186	0.77201	0.55687	6.02311	1.76476	2.80868	0.56712	3.2845
Anaerobutyricum	2.2295	2.64205	0.26111	1.78576	0.38753	6.4247	1.67611	1.81925	0.26289	0.85554	0	1.20324	0.43994	0.10098	0.12164	0.59771	0	0.15282	1.77457	0.01997	1.57022	0.23346	0	0.83717	0	1.24361	0	0.73949	0.11718	0.36986	0.12423	0.50444	0.03668	0.19684	0.53752	0	0.58986	0.76174	0.0217	0.08024	0.33945	0	0	0.3854	0.46659	0.17654	0.06109	1.08038	0.26408
Vescimonas	1.72045	1.07008	0	0	0	0	0.59037	1.17724	0.34611	0	0	0	0.38384	0.76461	0	0.34254	0	0	0	0.59697	1.04563	0	0	0.23741	0	0	0	0	0	0	0	0.05978	0.07421	0.2705	0.64185	1.58858	0	0	0.2082	1.8786	0.63576	0.30053	0	0	0	0	1.92485	0.62144	0.76233
