#mpa_vOct22_CHOCOPhlAnSGB_202403
clade_name	NW001_3_all	NW002_2_all	NW003_3_all	NW005_3_all	NW006_3_all	NW007_2_all	NW008_1_all	NW010_2_all	NW011_2_all	NW012_3_all	NW013_3_all	NW014_1_all	NW015_3_all	NW016_1_all	NW016_2_2_all	NW016_5_all	NW018_3_2_all	NW019_3_all	NW020_3_all	NW021_3_all	NW022_4_all	NW023_3_all	NW025_3_all	NW026_3_all	NW027_2_all	NW028_3_all	NW029_3_all	NW030_2_all	NW031_3_all	NW032_3_all	NW033_2_all	NW034_3_all	NW035_2_all	NW036_3_all	NW038_3_all	NW040_3_all	NW041_2_all	NW042_3_all	NW043_3_all	NW044_1_all	NW045_3_all	NW046_5_all	NW047_4_all	NW048_5_1_all	NW049_3_all	NW050_3_all	NW051_3_all	NW052_2_all	NW053_3_all
k__Bacteria	100.0	100.0	99.50079	100.0	99.23607	100.0	100.0	100.0	100.0	99.57857	99.97683	100.0	100.0	100.0	99.38074	100.0	100.0	98.82131	100.0	98.98557	95.11179	97.09134	100.0	100.0	100.0	100.0	94.92093	100.0	99.19022	100.0	100.0	99.77951	96.36303	100.0	98.62495	96.81051	100.0	98.55868	99.85228	99.4439	100.0	95.94845	100.0	100.0	100.0	100.0	95.35299	100.0	99.00905
k__Bacteria|p__Bacteroidetes	38.37289	18.66728	58.68266	33.34471	6.50261	36.07128	22.91261	49.87392	32.79579	31.04668	46.69765	41.13277	44.01677	50.65391	48.89934	4.1289	67.76928	46.09903	28.35905	63.72466	19.81614	40.99096	74.01078	31.08902	0.0	29.50706	57.35011	64.49841	31.80193	47.31728	51.9893	65.69478	20.07619	52.00861	47.339	34.05373	43.23208	37.21202	38.85477	42.79139	38.54718	18.59424	29.60603	53.7175	32.90451	18.74516	46.808	20.29716	24.61854
k__Bacteria|p__Firmicutes	37.35565	77.47913	25.67927	63.56326	83.26858	42.60502	68.47013	30.13046	65.11964	66.65275	51.26761	54.79894	48.69973	28.04284	34.94909	42.68781	23.61833	37.42993	66.87879	23.72427	54.37799	51.50142	16.95624	61.2176	90.28361	56.09677	28.64583	31.75622	59.49304	46.02944	42.98332	31.35624	54.32542	41.49082	44.57998	45.39177	43.93003	57.1512	51.91868	42.77332	52.18199	64.34481	39.9823	38.98417	59.42272	25.94028	37.80723	77.28161	53.14374
k__Bacteria|p__Verrucomicrobia	14.76302	2.1738	13.13449	0.0	0.8007	0.0	0.0	8.71651	0.13448	0.0	0.0	0.40499	0.0	0.0	12.36166	52.04993	3.75918	12.54016	0.01034	2.90077	0.04177	0.04742	8.70084	0.0	0.0	0.0	1.02212	1.14959	1.26732	5.25374	0.0	0.0	5.08938	6.21399	2.12549	8.57021	0.0	0.0	1.40672	8.81314	0.0	6.49559	19.33191	0.40993	5.93962	0.0	3.8704	0.0	0.0
k__Bacteria|p__Actinobacteria	6.88206	0.82427	0.38111	1.38651	6.67407	16.85101	8.02158	9.79713	1.42462	1.7296	1.46731	1.02018	0.07265	0.04437	0.5193	0.4442	1.06503	0.63967	2.84063	0.03495	20.16523	3.4403	0.1111	0.3902	0.16896	13.36788	0.4523	0.85509	0.73248	0.29489	4.74933	0.96473	9.11552	0.24643	0.78523	1.51458	10.55886	2.27179	0.23495	1.0386	1.4304	4.44051	4.46037	0.98276	0.74198	0.37716	3.43884	0.6446	0.81042
k__Bacteria|p__Proteobacteria	2.62638	0.85551	1.01553	1.61046	0.92264	4.24207	0.55238	1.48198	0.52547	0.01631	0.54427	2.64312	2.11355	16.26094	1.56042	0.41297	3.78819	0.91752	1.9112	8.60091	0.68106	0.86434	0.21611	7.02208	9.54743	1.02828	3.56621	1.74069	0.44088	1.10466	0.27806	1.76376	0.79691	0.04016	2.62502	6.83808	2.27902	1.76912	5.53726	2.61456	1.84091	0.61787	6.36838	4.96921	0.99117	54.9374	0.5117	1.77662	20.43635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	38.37289	18.66728	58.68266	33.34471	3.85422	36.07128	22.44895	49.87392	32.79579	30.20158	39.39222	34.35825	43.69895	50.65391	47.12656	4.1289	67.76928	44.81601	28.35905	63.72466	18.66897	35.44666	74.01078	31.08902	0.0	29.50706	56.86842	64.49841	30.96102	47.31728	51.9893	65.00197	11.67343	52.00861	41.0048	30.77729	43.23208	37.17153	33.43207	41.38473	38.54718	16.71153	29.60603	53.7175	32.90451	18.74516	46.808	20.29716	24.61854
k__Bacteria|p__Firmicutes|c__Negativicutes	20.96996	4.9104	1.18095	1.50819	0.07005	7.72596	10.99888	15.86068	6.95075	3.59848	0.0	4.34014	0.0	2.17341	6.11875	1.14153	1.36616	5.15742	6.49956	3.47972	3.05993	1.9646	1.01866	2.48874	2.95984	6.05606	2.56877	3.14348	0.74212	1.92995	0.73656	0.27111	2.73188	3.79452	1.89106	1.51209	3.30136	1.1396	2.03025	1.03558	1.27089	0.03488	3.83181	2.23115	1.08722	0.13399	0.50706	5.72174	0.27733
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	14.76302	2.1738	13.13449	0.0	0.8007	0.0	0.0	8.71651	0.13448	0.0	0.0	0.40499	0.0	0.0	12.36166	52.04993	3.75918	12.54016	0.01034	2.90077	0.04177	0.04742	8.70084	0.0	0.0	0.0	0.19819	1.14959	1.26732	5.25374	0.0	0.0	5.08938	6.21399	2.12549	8.57021	0.0	0.0	1.40672	8.81314	0.0	6.35351	19.33191	0.40993	5.93962	0.0	3.11629	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	13.80575	41.71063	19.75294	54.87611	25.13024	34.87906	47.69029	11.94714	49.18573	47.28458	43.01656	48.69825	42.05403	20.22905	15.07736	38.92007	21.12708	14.0349	52.87444	18.57416	44.46606	27.14434	12.98695	52.61846	81.79638	36.23786	20.82901	26.48621	20.97432	30.92248	37.8094	22.2977	34.41637	35.25179	25.0327	21.89554	35.2208	48.87749	35.59173	20.29428	38.93853	37.01555	34.83391	34.93455	54.669	23.53225	19.81154	57.971	29.88515
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	6.88206	0.50147	0.38111	1.3529	4.63495	1.11108	5.02756	9.79713	0.23891	1.60818	1.07653	0.44703	0.07265	0.04437	0.23001	0.4442	0.31528	0.25534	2.01485	0.0	9.31907	1.37861	0.1111	0.36792	0.0	0.0829	0.02192	0.85509	0.63706	0.29489	0.41642	0.42317	1.86016	0.24349	0.78523	1.51458	7.77372	1.33993	0.23495	0.42887	0.65973	1.66804	4.46037	0.96513	0.04079	0.09085	2.34545	0.53457	0.2954
k__Bacteria|p__Firmicutes|c__Bacilli	1.76486	10.11952	0.0	1.41449	0.06373	0.0	0.11615	0.72843	0.57245	0.0	0.0	0.02456	0.12471	0.0	4.98128	0.07298	0.0	7.0233	1.36592	0.0	0.14516	0.0	0.0	4.43631	1.54257	13.80285	0.0	0.0	9.99124	0.99718	0.12022	0.18191	0.76391	1.58734	0.0	0.03959	0.38497	0.22064	0.0	0.0	1.2905	0.0	0.0	0.73058	0.62476	0.0	0.52494	3.70468	17.77231
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1.70811	0.0	0.73164	0.90112	0.60526	0.45835	0.21392	1.07352	0.0	0.0	0.54427	0.76539	0.71822	1.1288	1.08358	0.29506	0.70173	0.61334	0.0	0.34438	0.47432	0.69954	0.09659	0.2083	0.0	0.0	2.3046	0.34383	0.21228	1.10466	0.0	0.22084	0.45598	0.04016	1.385	1.04229	0.63437	0.91832	0.89589	0.59246	0.56476	0.25348	1.2479	3.63796	0.51084	0.07085	0.45055	1.06295	0.41681
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.90483	0.36257	0.0	0.35338	0.04575	3.78372	0.0	0.40846	0.34966	0.01631	0.0	1.81517	1.24911	1.02999	0.47684	0.0	1.62035	0.30418	1.9112	0.0	0.07108	0.0	0.0	2.51482	0.0	0.0	0.0	0.19691	0.04483	0.0	0.0	1.54292	0.0	0.0	0.37501	0.23664	1.64466	0.2162	0.0	0.05307	0.84959	0.00495	0.18587	1.33125	0.0	0.0	0.06115	0.57384	0.0
k__Bacteria|p__Firmicutes|c__CFGB3012	0.77015	0.0	0.0	0.51016	0.0	0.0	0.0	1.4964	0.0	0.0	1.49908	0.0	0.0	0.09165	0.0	0.69757	0.0	0.0	0.0	0.62627	0.0	0.0	0.22352	0.0	0.0	0.0	1.20295	0.98889	0.0	1.38507	1.07382	0.0	0.0	0.0	0.0	0.0	1.23167	1.06303	0.0	0.0	0.0	0.50141	0.77875	0.16226	0.77895	0.0	0.68189	0.43354	0.0
k__Bacteria|p__Firmicutes|c__CFGB74461	0.0294	0.13777	0.0	0.03703	0.0	0.0	0.0	0.03535	0.0	0.00642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01555	0.0	0.0	0.0	0.03386	0.0	0.05969	0.02314	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.01553	0.53148	0.12788	0.09846	2.91273	0.0	5.32834	0.0	0.16058	0.60527	5.36697	0.33938	0.35203	0.71743	4.77188	0.20796	0.03087	7.37858	0.13075	0.11626	1.49467	1.05136	0.01188	0.013	3.27457	0.0	1.53819	0.57423	0.1437	0.04911	0.31773	0.11455	0.76289	0.64246	3.38892	2.05936	0.07449	3.53932	0.41283	0.09012	0.15391	1.05505	0.00281	0.47358	0.3664	0.83868	0.0	1.45559	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.01344	0.49294	0.2839	0.0	0.2638	0.0	0.33846	0.0	0.17581	0.0	0.0	0.06256	0.0	12.99538	0.0	0.11791	0.0	0.0	0.0	8.25653	0.1256	0.0	0.11952	4.16323	9.54743	1.02828	1.26161	1.19995	0.02798	0.0	0.27806	0.0	0.34093	0.0	0.0	4.64316	0.0	0.6346	2.56569	0.91183	0.42657	0.0	4.93461	0.0	0.48033	54.86656	0.0	0.13983	20.01954
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	38.37289	18.66728	58.68266	33.34471	3.85422	36.07128	22.44895	49.87392	32.79579	30.20158	39.39222	34.35825	43.69895	50.65391	47.12656	4.1289	67.76928	44.81601	28.35905	63.72466	18.66897	35.44666	74.01078	31.08902	0.0	29.50706	56.86842	64.49841	30.96102	47.31728	51.9893	65.00197	11.67343	52.00861	41.0048	30.77729	43.23208	37.17153	33.43207	41.38473	38.54718	16.71153	29.60603	53.7175	32.90451	18.74516	46.808	20.29716	24.61854
