"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis"	"Age"	"Age"	"Age"	-0.127390235214719	0.115099219485005	0.0417536200399202	1.04484276590711e-05	0.0107669918686937	1.04484276590711e-05	0.00690743939883887	NA	"abundance"	46	46
"PWY-6123: inosine-5'-phosphate biosynthesis I"	"Age"	"Age"	"Age"	-0.142492954546306	0.115099219485005	0.0460886950558371	1.32516822999307e-05	0.0107669918686937	1.32516822999307e-05	0.00690743939883887	NA	"abundance"	46	46
"PWY-6124: inosine-5'-phosphate biosynthesis II"	"Age"	"Age"	"Age"	-0.153096885537564	0.115099219485005	0.0478749670220595	1.11750224368601e-05	0.0107669918686937	1.11750224368601e-05	0.00690743939883887	NA	"abundance"	46	46
"UNINTEGRATED"	"Age"	"Age"	"Age"	-0.00364993989414628	0.115099219485005	0.00150437281130184	1.26404230282873e-05	0.0107669918686937	1.26404230282873e-05	0.00690743939883887	NA	"abundance"	46	46
"HISTSYN-PWY: L-histidine biosynthesis"	"Age"	"Age"	"Age"	-0.121972759160755	0.115099219485005	0.0502407186264913	0.000125095887263171	0.073658566846743	0.000125095887263171	0.0472548036539874	NA	"abundance"	46	46
"NONMEVIPP-PWY: methylerythritol phosphate pathway I"	"Age"	"Age"	"Age"	-0.0764185958098875	0.115099219485005	0.0414603383508521	0.000249305918558207	0.073658566846743	0.000249305918558207	0.0472548036539874	NA	"abundance"	46	46
"PWY-3841: folate transformations II (plants)"	"Age"	"Age"	"Age"	-0.0900842524112732	0.115099219485005	0.042996337983665	0.000159123384025017	0.073658566846743	0.000159123384025017	0.0472548036539874	NA	"abundance"	46	46
"PWY-5686: UMP biosynthesis I"	"Age"	"Age"	"Age"	-0.0978068016621264	0.115099219485005	0.0465865912582212	0.000227678432850542	0.073658566846743	0.000227678432850542	0.0472548036539874	NA	"abundance"	46	46
"PWY-7221: guanosine ribonucleotides de novo biosynthesis"	"Age"	"Age"	"Age"	-0.0781929536383932	0.115099219485005	0.0414960729961265	0.000238233122677789	0.073658566846743	0.000238233122677789	0.0472548036539874	NA	"abundance"	46	46
"PWY-7790: UMP biosynthesis II"	"Age"	"Age"	"Age"	-0.0989055989101905	0.115099219485005	0.0469046596234592	0.000212018208282094	0.073658566846743	0.000212018208282094	0.0472548036539874	NA	"abundance"	46	46
"PWY-7791: UMP biosynthesis III"	"Age"	"Age"	"Age"	-0.0989055989101905	0.115099219485005	0.0469046596234592	0.000201022482906321	0.073658566846743	0.000201022482906321	0.0472548036539874	NA	"abundance"	46	46
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)"	"Age"	"Age"	"Age"	-0.0881636740768073	0.115099219485005	0.0463943555704022	0.000370720340691744	0.0988312989621913	0.000370720340691744	0.0634040794880519	NA	"abundance"	46	46
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I"	"Age"	"Age"	"Age"	-0.0574084967237225	0.115099219485005	0.0381907071032586	0.000420860521638033	0.0988312989621913	0.000420860521638033	0.0634040794880519	NA	"abundance"	46	46
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate"	"Age"	"Age"	"Age"	-0.0572563635757571	0.115099219485005	0.0381132675794855	0.000448191270975062	0.0988312989621913	0.000448191270975062	0.0634040794880519	NA	"abundance"	46	46
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"	"Age"	"Age"	"Age"	-0.0572526209736295	0.115099219485005	0.0382181215862298	0.000456144456748575	0.0988312989621913	0.000456144456748575	0.0634040794880519	NA	"abundance"	46	46
"1CMET2-PWY: folate transformations III (E. coli)"	"Age"	"Age"	"Age"	-0.0521806822684291	0.115099219485005	0.0386039719189264	0.000647321223069763	0.0988424921040689	0.000647321223069763	0.0634112603190719	NA	"abundance"	46	46
