"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Oscillospirales"	"TimeNW"	"TimeNW"	"TimeNW"	-4.18284278525247	-0.000160221854067387	0.824150425169438	0.000176088827629877	0.106181563060816	0.000352146647984538	0.116912687130866	NA	"abundance"	205	23
"Oscillospirales"	"Location"	"Center"	"LocationCenter"	-12.0000981239744	-0.121937143647197	2.68820564269336	0.000538738755855325	0.16242973489038	0.00107718727226359	0.178813087195756	NA	"abundance"	205	23
"Puniceicoccaceae"	"FIScore"	"FIScore"	"FIScore"	2.07132985693575	0	0.676866629112309	0.00221208220015152	0.444628522230455	0.00221208220015152	0.244803763483435	NA	"prevalence"	205	12
"Marinifilaceae"	"Location"	"Center"	"LocationCenter"	2.74026410753539	-0.121937143647197	0.864649834406737	0.00500185818432865	0.603224097030035	0.00997869778336116	0.662585532815181	NA	"abundance"	205	129
"Puniceicoccaceae"	"Age"	"Age"	"Age"	-3.36853831927934	0	1.19582864826263	0.00484885349091765	0.603224097030035	0.00484885349091765	0.402454839746165	NA	"prevalence"	205	12
"Peptococcaceae"	"Age"	"Age"	"Age"	0.674276459217959	-0.0820118149228786	0.245693678831844	0.00920136369379222	0.616491367484079	0.018318062293759	0.675732964614221	NA	"abundance"	205	80
"Barnesiellaceae"	"Location"	"Center"	"LocationCenter"	11.163058080955	0	4.23744686787897	0.00842903430330494	0.616491367484079	0.0167870199873236	0.675732964614221	NA	"prevalence"	205	106
"Gastranaerophilales"	"Age"	"Age"	"Age"	1.34503334275	0	0.50546638317533	0.00779147722883536	0.616491367484079	0.0155222473402633	0.675732964614221	NA	"prevalence"	205	38
"RF39"	"Sex"	"Female"	"SexFemale"	-6.60551821073336	0	2.49962852850765	0.00822721799459232	0.616491367484079	0.0163867488732541	0.675732964614221	NA	"prevalence"	205	28
"Acidaminococcaceae"	"Age"	"Age"	"Age"	3.10735633591137	0	1.23792678297146	0.0120686949064266	0.679404131743707	0.0239917364161088	0.742654215897702	NA	"prevalence"	205	133
"Eubacteriaceae"	"Location"	"Center"	"LocationCenter"	4.37756704648755	0	1.77872356613215	0.0138522502754766	0.679404131743707	0.0275126157132588	0.742654215897702	NA	"prevalence"	205	30
"Unknown"	"Age"	"Age"	"Age"	0.94330992626314	0	0.379018642406724	0.0128167125573774	0.679404131743707	0.0254691569939764	0.742654215897702	NA	"prevalence"	205	150
"Victivallaceae"	"Sex"	"Female"	"SexFemale"	-6.53749222433079	0	2.67821686375532	0.0146471869198477	0.679404131743707	0.0290798337550305	0.742654215897702	NA	"prevalence"	205	25
"[Eubacterium]_coprostanoligenes_group"	"Sex"	"Female"	"SexFemale"	0.929547921041831	0.00616454503043335	0.445422501478791	0.0558331275148787	0.773793790303777	0.108548916901665	0.799987109869034	NA	"abundance"	205	186
"Actinomycetaceae"	"Age"	"Age"	"Age"	-0.774512422641029	-0.0820118149228786	0.34424437325009	0.0664135829804166	0.773793790303777	0.128416401956537	0.799987109869034	NA	"abundance"	205	42
"Akkermansiaceae"	"Age"	"Age"	"Age"	-0.884371293355076	-0.0820118149228786	0.489321601263329	0.116386875834413	0.773793790303777	0.21922784680233	0.799987109869034	NA	"abundance"	205	141
"Akkermansiaceae"	"Location"	"Center"	"LocationCenter"	2.24779635065515	-0.121937143647197	1.04494921362216	0.0397392684733233	0.773793790303777	0.0405231385871363	0.799987109869034	NA	"abundance"	205	141
"Anaerofustaceae"	"Age"	"Age"	"Age"	1.0336651381364	-0.0820118149228786	0.446670712384336	0.0571394477742111	0.773793790303777	0.11101397905648	0.799987109869034	NA	"abundance"	205	18
"Anaerofustaceae"	"Location"	"Center"	"LocationCenter"	-2.1030116910642	-0.121937143647197	0.880202813349828	0.0824399775132955	0.773793790303777	0.158083605134198	0.799987109869034	NA	"abundance"	205	18
"Anaerovoracaceae"	"FIScore"	"FIScore"	"FIScore"	0.262600612848374	-0.111118035382895	0.202540832150564	0.0980325568491774	0.773793790303777	0.186454731495968	0.799987109869034	NA	"abundance"	205	137
"Barnesiellaceae"	"TimeNW"	"TimeNW"	"TimeNW"	-0.8726288567171	-0.000160221854067387	0.398456333117229	0.0593295458621271	0.773793790303777	0.115139096712048	0.799987109869034	NA	"abundance"	205	106
"Bifidobacteriaceae"	"Age"	"Age"	"Age"	-0.883448081630307	-0.0820118149228786	0.477910123052967	0.110616988706009	0.773793790303777	0.208997859221633	0.799987109869034	NA	"abundance"	205	126
