feature	Bacteroidaceae	Lachnospiraceae	Tannerellaceae	Enterobacteriaceae	Ruminococcaceae	Marinifilaceae	Rikenellaceae	Akkermansiaceae	Oscillospiraceae	Streptococcaceae	Prevotellaceae	Bifidobacteriaceae	Fusobacteriaceae	Clostridiaceae	Barnesiellaceae	Peptostreptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Veillonellaceae	[Eubacterium]_coprostanoligenes_group	Christensenellaceae	Erysipelotrichaceae	Unknown	Lactobacillaceae	Sutterellaceae	Desulfovibrionaceae	Erysipelatoclostridiaceae	Clostridia_UCG-014	Monoglobaceae	Muribaculaceae	Butyricicoccaceae	Eggerthellaceae	Anaerovoracaceae	Coriobacteriales_Incertae_Sedis	Porphyromonadaceae	Clostridia_vadinBB60_group	Pseudomonadaceae	uncultured	Peptococcaceae	Pasteurellaceae	UCG-010	Morganellaceae	Gastranaerophilales	Victivallaceae	RF39	Actinomycetaceae	Izemoplasmatales	Hungateiclostridiaceae	Enterococcaceae	Atopobiaceae	Oscillospirales	Puniceicoccaceae	Selenomonadaceae	Succinivibrionaceae	Carnobacteriaceae	Eubacteriaceae	Synergistaceae	Micrococcaceae	Family_XI	Oxalobacteraceae	DTU014	[Clostridium]_methylpentosum_group	Defluviitaleaceae	Anaerofustaceae	Staphylococcaceae	Campylobacteraceae	Corynebacteriaceae	Syntrophomonadaceae	Gemellaceae	Sedimentibacteraceae
NW001-1	0.420916162489196	0.100432152117545	0.0626620570440795	0.000864304235090752	0.0152981849611063	NA	0.0428694900605013	0.104494382022472	0.0228176318063959	0.00587726879861711	0.0020743301642178	NA	NA	NA	NA	0.0013828867761452	0.0375108038029386	0.139585133967156	0.00017286084701815	0.00700086430423509	0.000777873811581677	NA	0.0010371650821089	0.00363007778738116	0.0087294727744166	0.0199654278305964	NA	NA	0.0010371650821089	NA	NA	0.000345721694036301	NA	NA	NA	NA	NA	NA	0.000518582541054451	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW001-3	0.263285894433435	0.105206269140695	0.0580075662042875	0.00180147721131328	0.00774635200864709	NA	0.0210772833723653	0.178886687083408	0.0336876238515583	0.00954782921996037	0.00189155107187894	0.000270221581696992	NA	NA	NA	NA	0.0359394703656999	0.22185191857323	0.000360295442262655	0.00432354530715186	0.00207169879301027	NA	0.0052242839128085	0.00585480093676815	0.00684561340299045	0.0301747432894974	NA	NA	0.00207169879301027	NA	NA	0.0032426589803639	0.000360295442262655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000270221581696992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW001-4	0.0168298243261365	0.122569397881185	0.00187743060211881	0.331031245809307	0.00268204371731259	NA	0.00214563497385007	0.438245943408878	0.00167627732332037	0.00932010191766126	NA	NA	NA	0.000268204371731259	NA	NA	0.0193777658575835	NA	NA	NA	0.00113986857985785	0.00107281748692504	0.00529703634169237	0.0322515757006839	NA	0.00992356175405659	NA	NA	0.000469357650529704	NA	0.00154217513745474	0.000536408743462518	NA	0.000938715301059407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000670510929328148	0.00013410218586563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW002-1	NA	0.21700143472023	0.310545193687231	0.0593974175035868	0.0710186513629842	0.00186513629842181	0.0321377331420373	0.0403873744619799	0.0279053084648494	0.0649928263988522	NA	0.00107604017216643	NA	NA	NA	0.00968436154949785	NA	NA	0.0144189383070301	0.0748206599713056	0.00932568149210904	0.00738880918220947	0.00494978479196557	0.00896700143472023	0.00609756097560976	NA	0.00322812051649928	NA	0.00437589670014347	0.0212338593974175	0.00796269727403156	0.000430416068866571	NA	NA	NA	0.00078909612625538	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW002-2	NA	0.287920072661217	0.243155572855845	0.0400934215648112	0.0442454911119761	0.0036330608537693	0.0656545997145452	0.0351628389775529	0.0503438432593746	0.0769430387958998	NA	0.00765537822758531	NA	NA	NA	0.0036330608537693	NA	NA	0.0182950564421954	0.0372388737511353	0.00778513040093422	0.00921240430777216	0.000389256520046711	0.00947190865446996	0.00882314778772544	NA	0.00311405216037369	NA	0.0035033086804204	0.0377578824445309	0.00324380433372259	0.00272479564032698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-1	0.255790297339593	0.220500782472613	0.0784820031298905	0.0054773082942097	0.0334115805946792	0.197026604068858	0.0958528951486698	0.0440532081377152	0.0235524256651017	NA	NA	NA	NA	0.00477308294209703	NA	0.000704225352112676	NA	NA	0.0119718309859155	0.0013302034428795	NA	0.00140845070422535	NA	NA	NA	0.010093896713615	0.00273865414710485	0.000782472613458529	0.00211267605633803	NA	0.000782472613458529	NA	NA	0.000312989045383412	NA	0.000312989045383412	NA	0.000312989045383412	0.0013302034428795	NA	0.000625978090766823	NA	NA	NA	0.00156494522691706	NA	0.00383411580594679	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000860719874804382	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-2	0.201433486238532	0.199082568807339	0.0849197247706422	0.0259747706422018	0.0223050458715596	0.232454128440367	0.0958715596330275	0.0696100917431193	0.0259174311926606	NA	NA	NA	NA	0.00797018348623853	NA	0.000344036697247706	NA	NA	0.00693807339449541	0.00126146788990826	0.00149082568807339	0.000745412844036697	0.000172018348623853	NA	NA	0.0102064220183486	0.00143348623853211	0.000860091743119266	0.00372706422018349	NA	NA	0.00126146788990826	0.00103211009174312	0.00131880733944954	NA	0.000401376146788991	NA	NA	0.00051605504587156	NA	0.000344036697247706	NA	NA	NA	0.00206422018348624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000172018348623853	NA	NA	NA	0.000172018348623853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-3	0.118482309124767	0.115456238361266	0.0288640595903166	0.0175162942271881	0.0370111731843575	0.269320297951583	0.167364990689013	0.147462756052142	0.0323556797020484	NA	NA	NA	NA	0.02612895716946	NA	0.00273510242085661	NA	NA	0.00465549348230913	0.00238594040968343	0.00343342644320298	0.00354981378026071	NA	NA	NA	0.00587756052141527	0.00186219739292365	0.00523743016759777	0.000523743016759777	NA	NA	0.00378258845437616	0.00104748603351955	0.000640130353817505	NA	0.00029096834264432	NA	0.000523743016759777	NA	NA	0.000872905027932961	NA	NA	NA	NA	NA	0.00029096834264432	0.000581936685288641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000407355679702048	0.00122206703910615	NA	NA	0.000116387337057728	NA	NA	NA	NA	NA	NA
NW003-4	0.212039295839652	0.132194896815455	0.102129623524758	0.0514274411551394	0.0341530955363618	0.166809520669875	0.116107338300257	0.104041669413859	0.0209006395463836	NA	NA	NA	NA	0.0112744774840113	NA	NA	NA	NA	0.00534054196611063	0.000527460934924507	0.0019779785059669	0.0019779785059669	0.000527460934924507	NA	NA	0.00771411617327092	0.00336256346014373	0.00909870112744775	0.00039559570119338	NA	NA	0.000593393551790071	0.0019779785059669	0.00105492186984901	NA	0.000857124019252324	NA	0.00039559570119338	NA	NA	NA	NA	NA	NA	0.0106810839322213	NA	0.000461528318058944	0.000791191402386761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00118678710358014	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-5	0.248850838887612	0.198057917720064	0.0966444495518272	0.0182142036313491	0.0211445644679384	0.21276717995863	0.0876809928752011	0.0583199264536888	0.022236267524707	NA	NA	NA	NA	0.0027005286141117	NA	NA	NA	NA	0.00442427028269363	0.000861870834290968	0.00114916111238796	0.000287290278096989	NA	NA	NA	0.00775683750861871	0.00143645139048495	0.00815904389795449	0.000746954723052172	NA	NA	NA	0.000689496667432774	0.000344748333716387	0.000287290278096989	0.00143645139048495	NA	0.000287290278096989	NA	NA	NA	NA	NA	NA	0.00224086416915652	NA	0.00137899333486555	0.000632038611813376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00103424500114916	NA	0.000229832222477591	NA	NA	NA	NA	NA	NA	NA
