feature	Bacteroidaceae	Lachnospiraceae	Tannerellaceae	Enterobacteriaceae	Ruminococcaceae	Marinifilaceae	Rikenellaceae	Akkermansiaceae	Oscillospiraceae	Streptococcaceae	Prevotellaceae	Bifidobacteriaceae	Fusobacteriaceae	Clostridiaceae	Barnesiellaceae	Peptostreptococcaceae	Coriobacteriaceae	Acidaminococcaceae	Veillonellaceae	[Eubacterium]_coprostanoligenes_group	Christensenellaceae	Erysipelotrichaceae	Unknown	Lactobacillaceae	Sutterellaceae	Desulfovibrionaceae	Erysipelatoclostridiaceae	Clostridia_UCG-014	Monoglobaceae	Muribaculaceae	Butyricicoccaceae	Eggerthellaceae	Anaerovoracaceae	Coriobacteriales_Incertae_Sedis	Porphyromonadaceae	Clostridia_vadinBB60_group	Pseudomonadaceae	uncultured	Peptococcaceae	Pasteurellaceae	UCG-010	Morganellaceae	Gastranaerophilales	Victivallaceae	RF39	Actinomycetaceae	Izemoplasmatales	Hungateiclostridiaceae	Enterococcaceae	Atopobiaceae	Oscillospirales	Puniceicoccaceae	Selenomonadaceae	Succinivibrionaceae	Carnobacteriaceae	Eubacteriaceae	Synergistaceae	Micrococcaceae	Family_XI	Oxalobacteraceae	DTU014	[Clostridium]_methylpentosum_group	Defluviitaleaceae	Anaerofustaceae	Staphylococcaceae	Campylobacteraceae	Corynebacteriaceae	Syntrophomonadaceae
NW001-1	-1.24839518702515	-3.31570689059032	-3.99626405909256	-10.1761731491075	-6.03049569391185	NA	-4.54390493360798	-3.25850271474573	-5.4537071246364	-7.41063840274451	-8.9131387432737	NA	NA	NA	NA	-9.49810124399485	-4.73655001155037	-2.84078279441357	-12.4981012439949	-7.15825124111023	-10.3281762425525	NA	-9.9131387432737	-8.10578382121609	-6.83988976124306	-5.64635220257879	NA	NA	-9.9131387432737	NA	NA	-11.4981012439949	NA	NA	NA	NA	NA	NA	-10.9131387432737	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW001-3	-1.92529786395553	-3.24870741888157	-4.10761509964697	-9.11660388287422	-7.01226722305948	NA	-5.56816725817818	-2.48288207023321	-4.89163751787395	-6.71061152319838	-9.04621455498282	-11.8535694770404	NA	NA	NA	NA	-4.79828704153924	-2.17233106526262	-11.4385319777616	-7.85356947704043	-8.91497002170457	NA	-7.58055098263401	-7.41616416473313	-7.190604464318	-5.05051469241645	NA	NA	-8.91497002170457	NA	NA	-8.26860697631927	-11.4385319777616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.8535694770404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW001-4	-5.89283607223547	-3.02832927112817	-9.05702470412863	-1.59496069644514	-8.54245153129888	NA	-8.86437962618624	-1.19018735804056	-9.22052343641151	-6.74543855346273	NA	NA	NA	-11.8643796261862	NA	NA	-5.68945394368556	NA	NA	NA	-9.7769167849359	-9.86437962618624	-7.56059887800914	-4.9544865424162	NA	-6.65492626055729	NA	NA	-11.0570247041286	NA	-9.34081767012923	-10.8643796261862	NA	-10.0570247041286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.5424515312989	-12.8643796261862	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW002-1	NA	-2.20422351370647	-1.68712485554343	-4.07345598325646	-3.81565822578881	-9.06650322261469	-4.95958801869818	-4.62995182867556	-5.16331659576959	-3.94357570070955	NA	-9.86005234514727	NA	NA	NA	-6.69012734370495	NA	NA	-6.11589124957686	-3.74041949823602	-6.74457512772733	-7.08044241357257	-7.65841848397762	-6.8011586560937	-7.35755200461808	NA	-8.27508984442611	NA	-7.8362056031929	-5.55748957512684	-6.97252707440568	-11.1819804400346	NA	NA	NA	-10.3075113221185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW002-2	NA	-1.79625972342496	-2.04004843796279	-4.6404906477176	-4.4983257465978	-8.10459875356437	-3.92896010092766	-4.8298046342681	-4.31204083343485	-3.70006538107597	NA	-7.02931062626013	NA	NA	NA	-8.10459875356437	NA	NA	-5.77240232322318	-4.74704674894629	-7.00506308001345	-6.76220655611729	-11.3269911749008	-6.72212911674196	-6.82449083437163	NA	-8.32699117490082	NA	-8.1570661734585	-4.72707833271369	-8.26809748584725	-8.51963625284321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-1	-1.96696655406709	-2.18114431952472	-3.67149432522218	-7.51231719888939	-4.90350795621387	-2.34353764811534	-3.38303418194442	-4.50460910375413	-5.40798053907465	NA	NA	NA	NA	-7.71086287827147	NA	-10.471675214392	NA	NA	-6.3842123731417	-9.55413737458402	NA	-9.47167521439204	NA	NA	NA	-6.6303729604111	-8.51231719888939	-10.319672120947	-8.88671271367089	NA	-10.319672120947	NA	NA	-11.6416002158344	NA	-11.6416002158344	NA	-11.6416002158344	-9.55413737458402	NA	-10.6416002158344	NA	NA	NA	-9.319672120947	NA	-8.02689037171915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.1821685971971	NA	NA	NA	NA	NA	NA	NA
NW003-2	-2.31162455844192	-2.32856118721981	-3.55775649437544	-5.26674517961805	-5.4864860746781	-2.10498204619739	-3.38275328758341	-3.84455971340861	-5.2699334572491	NA	NA	NA	NA	-6.97117134694078	NA	-11.5051499189431	NA	NA	-7.17124918238969	-9.63068080102699	-9.3896727015232	-10.3896727015232	-12.5051499189431	NA	NA	-6.61437898869789	-9.44625622988956	-10.1832218240558	-8.06774460663583	NA	NA	-9.63068080102699	-9.92018741822198	-9.56655046360728	NA	-11.2827574976067	NA	NA	-10.920187418222	NA	-11.5051499189431	NA	NA	NA	-8.92018741822198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-12.5051499189431	NA	NA	NA	-12.5051499189431	NA	NA	NA	NA	NA	NA	NA	NA
NW003-3	-3.07725643190972	-3.11458196759854	-5.11458196759854	-5.83515860122571	-4.75589532270106	-1.89260512887792	-2.57893031754611	-2.7615774688446	-4.9498372052619	NA	NA	NA	NA	-5.25820664324427	NA	-8.51418942630777	NA	NA	-7.74685018309805	-8.71122627336733	-8.18613522862357	-8.13804094042253	NA	NA	NA	-7.41056679523362	-9.06877827798541	-7.57692518165574	-10.8988532765431	NA	NA	-8.04641046495696	-9.8988532765431	-10.6093466593481	NA	-11.7468501830981	NA	-10.8988532765431	NA	NA	-10.1618876823769	NA	NA	NA	NA	NA	-11.7468501830981	-10.7468501830981	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.2614233559278	-9.67646085520665	NA	NA	-13.0687782779854	NA	NA	NA	NA
NW003-4	-2.23759644019558	-2.91926161003223	-3.29152670258495	-4.2813178176249	-4.87183984368796	-2.58372646179284	-3.10646893754331	-3.26476664136106	-5.58030910123511	NA	NA	NA	NA	-6.47079561648862	NA	NA	NA	NA	-7.54879812848989	-10.8886481313745	-8.981757535766	-8.981757535766	-10.8886481313745	NA	NA	-7.01828341179111	-8.21622278940302	-6.78012367459634	-11.3036856306534	NA	NA	-10.7187231299322	-8.981757535766	-9.88864813137451	NA	-10.1882084132334	NA	-11.3036856306534	NA	NA	NA	NA	NA	NA	-6.54879812848989	NA	-11.0812932093169	-10.3036856306534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.7187231299322	NA	NA	NA	NA	NA	NA	NA
NW003-5	-2.00664684447296	-2.33600571817326	-3.37116931128539	-5.77879227140112	-5.56356934548352	-2.2326524673689	-3.511592054706	-4.09986728946799	-5.49094154539612	NA	NA	NA	NA	-8.53254244986289	NA	NA	NA	NA	-7.82034476084563	-10.180240705932	-9.76520320665317	-11.7652032066532	NA	NA	NA	-7.0103157044897	-9.44327511176581	-6.93738418203585	-10.3866915833994	NA	NA	NA	-10.5021688008194	-11.5021688008194	-11.7652032066532	-9.44327511176581	NA	-11.7652032066532	NA	NA	NA	NA	NA	NA	-8.80172908267828	NA	-9.50216880081937	-10.6276996829032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.91720630009822	NA	-12.0871313015405	NA	NA	NA	NA	NA
