"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Hydrogenoanaerobacterium"	"TimeNW"	"TimeNW"	"TimeNW"	-4.18284278525247	-0.0653625359736858	0.824150425169438	0.000194077152517286	0.147595674489396	0.000388116639093444	0.172129729437942	NA	"abundance"	205	23
"Erysipelatoclostridium"	"Location"	"Center"	"LocationCenter"	-4.28956361884184	0	1.1121851143502	0.000114843887766298	0.147595674489396	0.000229674586414038	0.172129729437942	NA	"prevalence"	205	97
"Hydrogenoanaerobacterium"	"Location"	"Center"	"LocationCenter"	-12.0000981239744	-0.366942410777038	2.68820564269336	0.00064036598012829	0.324665551925043	0.00128032189166807	0.283911379477395	NA	"abundance"	205	23
"Enterorhabdus"	"FIScore"	"FIScore"	"FIScore"	-4.79534290010622	0	1.45807390168986	0.00100608272419566	0.382562955875399	0.00100608272419566	0.283911379477395	NA	"prevalence"	205	9
"[Eubacterium]_brachy_group"	"Location"	"Center"	"LocationCenter"	-1.60818010547506	0	0.54801657836236	0.00334035550581648	0.597687372906557	0.00666955303672772	0.695872760983349	NA	"prevalence"	205	24
"Desulfovibrio"	"Location"	"Center"	"LocationCenter"	6.30507587697424	0	2.16165371531578	0.00353661167400329	0.597687372906557	0.00706071572587389	0.695872760983349	NA	"prevalence"	205	76
"Paraprevotella"	"Location"	"Center"	"LocationCenter"	7.9526949351346	0	2.65295961913704	0.00272052930666412	0.597687372906557	0.00543365733361981	0.695872760983349	NA	"prevalence"	205	66
"Phascolarctobacterium"	"Age"	"Age"	"Age"	3.60047887053212	0	1.20608673815887	0.00283340165473817	0.597687372906557	0.00565877514453926	0.695872760983349	NA	"prevalence"	205	118
"Sutterella"	"Location"	"Center"	"LocationCenter"	6.39593789802268	0	2.17221293998419	0.0032354581912395	0.597687372906557	0.00646044819277175	0.695872760983349	NA	"prevalence"	205	71
"Peptococcus"	"Age"	"Age"	"Age"	2.33383370133253	0	0.827496101998778	0.00479703791811175	0.729629467344797	0.00957106426343569	0.82405790284544	NA	"prevalence"	205	53
"Prevotella_9"	"TimeNW"	"TimeNW"	"TimeNW"	-4.33188550199207	-0.0653625359736858	1.15507544432698	0.00770845219011716	0.736094033516172	0.015357484145067	0.82405790284544	NA	"abundance"	205	28
"Barnesiella"	"Location"	"Center"	"LocationCenter"	7.63257718971231	0	2.82583581411012	0.00691317316092312	0.736094033516172	0.0137785543586933	0.82405790284544	NA	"prevalence"	205	96
"Clostridium_sensu_stricto_1"	"Age"	"Age"	"Age"	1.57428205576891	0	0.579830771187903	0.00662614443257438	0.736094033516172	0.0132083830751074	0.82405790284544	NA	"prevalence"	205	86
"Erysipelatoclostridium"	"TimeNW"	"TimeNW"	"TimeNW"	-1.36674705434509	0	0.499916756788244	0.00625796844201682	0.736094033516172	0.0124767747150124	0.82405790284544	NA	"prevalence"	205	97
"Gastranaerophilales"	"Age"	"Age"	"Age"	1.34503334275	0	0.50546638317533	0.00779147722883536	0.736094033516172	0.0155222473402633	0.82405790284544	NA	"prevalence"	205	38
"Lachnospiraceae_FCS020_group"	"Location"	"Center"	"LocationCenter"	-2.87052123783406	0	1.05601790075509	0.00656281213164221	0.736094033516172	0.0130825537602092	0.82405790284544	NA	"prevalence"	205	34
"RF39"	"Sex"	"Female"	"SexFemale"	-6.60551821073336	0	2.49962852850765	0.00822721799459232	0.736094033516172	0.0163867488732541	0.82405790284544	NA	"prevalence"	205	28
"Erysipelatoclostridium"	"Age"	"Age"	"Age"	1.24442508071456	0	0.475477672634244	0.00886516943306347	0.749106817093863	0.01765174763705	0.82405790284544	NA	"prevalence"	205	97
"[Clostridium]_innocuum_group"	"Age"	"Age"	"Age"	-0.644487395407746	0.0217147887600172	0.270656918180204	0.0243961321827249	0.790988339986153	0.0481970930999728	0.830253550381854	NA	"abundance"	205	108
"[Eubacterium]_hallii_group"	"Location"	"Center"	"LocationCenter"	-1.46612525035988	-0.366942410777038	0.326618333936376	0.0253860119010418	0.790988339986153	0.0501275742018438	0.830253550381854	NA	"abundance"	205	178
"Akkermansia"	"Location"	"Center"	"LocationCenter"	2.24779635065515	-0.366942410777038	1.04494921362216	0.0238001208101059	0.790988339986153	0.0405231385871363	0.830253550381854	NA	"abundance"	205	141
"Alloprevotella"	"TimeNW"	"TimeNW"	"TimeNW"	-4.23876881055496	-0.0653625359736858	1.00060375703661	0.023790439139686	0.790988339986153	0.047014893284913	0.830253550381854	NA	"abundance"	205	37
"Butyricimonas"	"Location"	"Center"	"LocationCenter"	1.19284881274899	-0.366942410777038	0.523825868453496	0.0232281452827306	0.790988339986153	0.0459167438321855	0.830253550381854	NA	"abundance"	205	95
"Clostridia_vadinBB60_group"	"Location"	"Center"	"LocationCenter"	1.76975164494524	-0.366942410777038	0.755258906535674	0.0199373798294033	0.790988339986153	0.0394772605443448	0.830253550381854	NA	"abundance"	205	70
"Fusobacterium"	"Location"	"Center"	"LocationCenter"	2.91188452525105	-0.366942410777038	1.17566996627261	0.0214955050899621	0.790988339986153	0.0425289534408515	0.830253550381854	NA	"abundance"	205	17
"Hydrogenoanaerobacterium"	"Age"	"Age"	"Age"	-0.459637656939157	0.0217147887600172	0.179569592083703	0.0266881768112773	0.790988339986153	0.0526640948410447	0.830253550381854	NA	"abundance"	205	23
"Intestinibacter"	"Age"	"Age"	"Age"	-0.813938126975608	0.0217147887600172	0.328079708904219	0.0200437069094588	0.790988339986153	0.0396856636322454	0.830253550381854	NA	"abundance"	205	110
"Odoribacter"	"Location"	"Center"	"LocationCenter"	2.43091462323513	-0.366942410777038	1.01198870504849	0.0151927808477013	0.790988339986153	0.0301547411055163	0.830253550381854	NA	"abundance"	205	119
"Prevotella_9"	"Location"	"Center"	"LocationCenter"	-9.16966003611956	-0.366942410777038	3.03189708083865	0.027042336409783	0.790988339986153	0.0533533848610661	0.830253550381854	NA	"abundance"	205	28
"Veillonella"	"Sex"	"Female"	"SexFemale"	-4.7429910297213	0.120634302437176	1.5603094052927	0.0100991426855925	0.790988339986153	0.0200962926882011	0.830253550381854	NA	"abundance"	205	43
"[Eubacterium]_ventriosum_group"	"TimeNW"	"TimeNW"	"TimeNW"	-1.47753189551211	0	0.650187854304741	0.0230581841605807	0.790988339986153	0.0455846884643781	0.830253550381854	NA	"prevalence"	205	83
"[Eubacterium]_xylanophilum_group"	"Age"	"Age"	"Age"	1.1085304582781	0	0.471984181141734	0.0188410926052772	0.790988339986153	0.0373271984399937	0.830253550381854	NA	"prevalence"	205	112
"[Ruminococcus]_gnavus_group"	"Location"	"Center"	"LocationCenter"	-2.48037168994788	0	1.10377936281313	0.0246296381551645	0.790988339986153	0.0486526572346747	0.830253550381854	NA	"prevalence"	205	79
"Akkermansia"	"Location"	"Center"	"LocationCenter"	3.20974543282193	0	1.3849440153616	0.0204711023084293	0.790988339986153	0.0405231385871363	0.830253550381854	NA	"prevalence"	205	141
"Barnesiella"	"TimeNW"	"TimeNW"	"TimeNW"	-4.67851535536219	0	1.88280471778498	0.0129600608877733	0.790988339986153	0.0257521585973319	0.830253550381854	NA	"prevalence"	205	96
"Bilophila"	"TimeNW"	"TimeNW"	"TimeNW"	2.08991293901434	0	0.823265578525433	0.0111308218538673	0.790988339986153	0.0221377485125921	0.830253550381854	NA	"prevalence"	205	142
