feature	Bacteroides	Unknown	Parabacteroides	Odoribacter	Escherichia-Shigella	Akkermansia	Blautia	Alistipes	[Ruminococcus]_torques_group	Faecalibacterium	[Ruminococcus]_gnavus_group	Streptococcus	Bifidobacterium	Agathobacter	Cetobacterium	Collinsella	Clostridium_sensu_stricto_1	Barnesiella	[Eubacterium]_coprostanoligenes_group	Christensenellaceae_R-7_group	Tannerellaceae	Anaerostipes	[Eubacterium]_hallii_group	UCG-002	Roseburia	Phascolarctobacterium	Ruminococcus	Incertae_Sedis	Dorea	Klebsiella	Prevotella_9	Clostridia_UCG-014	Parasutterella	Dialister	uncultured	Intestinibacter	[Ruminococcus]_gauvreauii_group	Subdoligranulum	Lactobacillus	Lachnoclostridium	Monoglobus	Lachnospira	Alloprevotella	Bilophila	Paraprevotella	Coprococcus	Eisenbergiella	Veillonella	[Eubacterium]_eligens_group	Butyricimonas	Holdemanella	UBA1819	Butyricicoccus	Desulfovibrio	[Eubacterium]_siraeum_group	Fusicatenibacter	Tyzzerella	Erysipelotrichaceae_UCG-003	Colidextribacter	Acidaminococcus	Negativibacillus	CAG-873	Frisingicoccus	[Eubacterium]_xylanophilum_group	Sutterella	Megasphaera	Erysipelatoclostridium	[Clostridium]_innocuum_group	Flavonifractor	Candidatus_Stoquefichus	Rikenellaceae_RC9_gut_group	HT002	Succiniclasticum	Turicibacter	Porphyromonas	Lachnospiraceae_ND3007_group	Faecalitalea	Clostridia_vadinBB60_group	Muribaculaceae	Hungatella	Coprobacter	[Eubacterium]_ventriosum_group	Lachnospiraceae_UCG-001	Erysipelotrichaceae	Adlercreutzia	Mogibacterium	Romboutsia	UC5-1-2E3	CAG-352	Terrisporobacter	UCG-005	Sellimonas	Lachnospiraceae_NC2004_group	Haemophilus	CAG-56	UCG-010	UCG-003	Anaerotruncus	Ligilactobacillus	Proteus	Lachnospiraceae_UCG-004	Prevotella	Gastranaerophilales	Peptococcus	Eggerthella	Family_XIII_AD3011_group	Prevotellaceae_NK3B31_group	RF39	Limosilactobacillus	Actinomyces	Izemoplasmatales	Sarcina	Fusobacterium	Victivallaceae	[Eubacterium]_nodatum_group	Senegalimassilia	[Eubacterium]_ruminantium_group	Clostridioides	Lacticaseibacillus	Weissella	Lachnospiraceae_FCS020_group	Holdemania	DTU089	Victivallis	Family_XIII_UCG-001	Coprobacillus	Ruminiclostridium	Enterococcus	Merdibacter	Hydrogenoanaerobacterium	[Eubacterium]_fissicatena_group	Sanguibacteroides	Anaerostignum	Slackia	Peptoclostridium	Catenibacterium	Granulicatella	Clostridium_sensu_stricto_13	Lactococcus	Eubacterium	Coriobacteriaceae_UCG-003	[Eubacterium]_brachy_group	Lachnospiraceae_UCG-010	Fournierella	Howardella	Prevotella_7	Oscillibacter	Cloacibacillus	Enterorhabdus	Anaerobiospirillum	Megamonas	Rothia	Gordonibacter	Oxalobacter	DTU014	[Clostridium]_methylpentosum_group	Harryflintia	Defluviitaleaceae_UCG-011	NK4A214_group	Catenibacillus	Marvinbryantia	Lachnospiraceae	Succinivibrio	Atopobium	Fenollaria	[Bacteroides]_pectinophilus_group	Anaerofustis	Enterobacter	Staphylococcus	Christensenellaceae	Paludicola	GCA-900066755	Allisonella	Prevotellaceae_UCG-001	UCG-008	Campylobacter	Dielma	Lawsonella	Paeniclostridium	Mailhella	Peptoniphilus	Rikenella	Stomatobaculum	Christensenella	Lachnospiraceae_NK4B4_group	Tuzzerella	Murimonas	Syntrophomonas	Phocea	Muribaculum	Libanicoccus	Faecalicoccus	Succinatimonas	Lachnospiraceae_UCG-003	Pediococcus	Alloscardovia	Olsenella	Solobacterium	Lachnospiraceae_UCG-002	Scardovia	Oscillospira
NW001-1	0.420916162489196	0.0486603284356093	0.0569576490924806	NA	NA	0.104494382022472	0.032152117545376	0.0428694900605013	0.00285220397579948	0.000777873811581677	NA	0.00587726879861711	NA	0.00146931719965428	NA	0.0375108038029386	NA	NA	0.00700086430423509	NA	0.00570440795159896	NA	0.0179775280898876	0.00648228176318064	0.000864304235090752	0.0306828003457217	NA	0.00285220397579948	0.00224719101123596	0.000864304235090752	NA	NA	NA	0.00017286084701815	NA	0.0013828867761452	0.00164217804667243	0.00406222990492653	NA	0.00380293863439931	0.0010371650821089	NA	NA	0.0121866897147796	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00777873811581677	NA	0.000518582541054451	NA	NA	0.00648228176318064	0.108902333621435	0.0013828867761452	NA	0.000432152117545376	NA	0.0087294727744166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00198789974070873	NA	NA	NA	0.0020743301642178	0.00164217804667243	0.00363007778738116	NA	NA	NA	NA	0.000518582541054451	0.000345721694036301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0020743301642178	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW001-3	0.263285894433435	0.0592686002522068	0.0526031345703477	NA	NA	0.178886687083408	0.0190956584399207	0.0210772833723653	0.00360295442262655	0.00108088632678797	NA	0.00954782921996037	0.000270221581696992	NA	NA	0.0359394703656999	NA	NA	0.00432354530715186	0.00180147721131328	0.00540443163393983	NA	0.0221581696991533	0.011259232570708	0.000360295442262655	0.0466582597730139	NA	0.00117096018735363	0.00117096018735363	0.00180147721131328	NA	NA	NA	0.000360295442262655	NA	NA	0.000720590884525311	0.00126103404791929	NA	0.00504413619167718	0.00207169879301027	0.000630517023959647	NA	0.0155827778778598	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0145919654116375	NA	NA	0.00180147721131328	NA	0.00711583498468744	0.175193658800216	0.000450369302828319	NA	0.0022518465141416	NA	0.00684561340299045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00495406233111151	NA	0.00126103404791929	NA	NA	NA	NA	NA	NA	NA	0.00279228967753558	NA	NA	NA	0.00378310214375788	0.00216177265357593	0.00585480093676815	NA	NA	0.000900738605656638	NA	NA	0.000720590884525311	0.000360295442262655	NA	NA	NA	0.000270221581696992	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00126103404791929	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000990812466222302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW001-4	0.0168298243261365	0.0821375888426981	0.00187743060211881	NA	0.00214563497385007	0.438245943408878	0.0270215904519244	0.00214563497385007	0.00328550355370793	0.000871664208126592	0.00147512404452193	0.00932010191766126	NA	NA	NA	0.0193777658575835	0.000268204371731259	NA	NA	0.00113986857985785	NA	0.00147512404452193	0.00704036475794555	NA	NA	NA	NA	0.000268204371731259	0.0040901166689017	0.32539895400295	NA	NA	NA	NA	0.000938715301059407	NA	0.000871664208126592	0.00107281748692504	NA	0.00335255464664074	0.000469357650529704	NA	NA	0.00301729918197667	NA	NA	NA	NA	NA	NA	NA	0.000469357650529704	0.00154217513745474	0.00690626257207992	NA	0.000670510929328148	NA	NA	0.00113986857985785	NA	NA	NA	0.000469357650529704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000804613115193778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0322515757006839	NA	NA	NA	NA	NA	0.000536408743462518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000268204371731259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000670510929328148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00013410218586563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW002-1	NA	0.10480631276901	0.0137733142037303	NA	0.056312769010043	0.0403873744619799	0.0547345767575323	0.0321377331420373	0.0205882352941176	0.0233142037302726	0.00200860832137733	0.0649928263988522	0.00107604017216643	0.00932568149210904	NA	NA	NA	NA	0.0748206599713056	0.00932568149210904	0.296771879483501	0.00179340028694405	0.0134863701578192	0.00279770444763271	NA	NA	0.01506456241033	NA	NA	NA	NA	NA	0.00609756097560976	NA	NA	0.00968436154949785	NA	0.00538020086083214	NA	NA	0.00437589670014347	0.00767575322812052	NA	NA	NA	0.00179340028694405	0.00365853658536585	0.0144189383070301	NA	0.00186513629842181	NA	0.001506456241033	0.00796269727403156	NA	NA	0.00172166427546628	NA	0.00186513629842181	0.00581061692969871	NA	0.0216642754662841	NA	NA	0.00236728837876614	NA	NA	0.00136298421807747	0.00674318507890961	0.00538020086083214	NA	NA	0.00215208034433285	NA	NA	NA	0.00459110473457676	NA	0.00078909612625538	0.0212338593974175	0.00078909612625538	NA	NA	0.00136298421807747	NA	NA	NA	NA	0.00602582496413199	NA	NA	NA	NA	0.00129124820659971	NA	NA	NA	NA	0.00172166427546628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0093974175035868	NA	NA	NA	NA	0.000645624103299857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000430416068866571	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000717360114777618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW002-2	NA	0.123264564681458	0.00622810432074737	NA	0.035033086804204	0.0351628389775529	0.0747372518489685	0.0656545997145452	0.0256909303230829	0.00519008693395614	0.00220578694693136	0.0769430387958998	0.00765537822758531	0.0220578694693136	NA	NA	NA	NA	0.0372388737511353	0.00778513040093422	0.236927468535098	0.00103801738679123	0.0360711041909952	0.00674711301414299	NA	NA	0.0157000129752173	NA	NA	NA	NA	NA	0.00882314778772544	NA	NA	0.0036330608537693	NA	0.00817438692098093	NA	NA	0.0035033086804204	0.00739587388088751	NA	NA	NA	NA	0.00674711301414299	0.0182950564421954	NA	0.0036330608537693	NA	0.00129752173348904	0.00324380433372259	NA	NA	0.000778513040093422	NA	0.00207603477358246	0.0110289347346568	NA	0.00817438692098093	NA	NA	0.0037628130271182	NA	NA	0.00103801738679123	0.00830413909432983	0.00687686518749189	NA	NA	NA	NA	NA	NA	0.00739587388088751	NA	NA	0.0377578824445309	NA	NA	NA	0.000648760866744518	NA	NA	NA	NA	0.00454132606721163	NA	NA	NA	NA	0.0035033086804204	NA	NA	NA	NA	0.0037628130271182	NA	NA	NA	NA	NA	NA	0.00103801738679123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111586869080057	NA	NA	NA	NA	0.000908265213442325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00116776956014013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-1	0.255790297339593	0.068075117370892	0.0784820031298905	0.197026604068858	0.00446009389671361	0.0440532081377152	0.047887323943662	0.0958528951486698	0.0299687010954617	0.0151799687010955	NA	NA	NA	0.00586854460093897	NA	NA	NA	NA	0.0013302034428795	NA	NA	0.0054773082942097	0.00211267605633803	0.00328638497652582	0.0327856025039124	NA	0.00383411580594679	0.00406885758998435	0.00187793427230047	NA	NA	0.000782472613458529	NA	0.0119718309859155	0.00195618153364632	0.000704225352112676	NA	0.00195618153364632	NA	0.00250391236306729	0.00211267605633803	0.00250391236306729	NA	0.010093896713615	NA	NA	0.00688575899843505	NA	0.0109546165884194	NA	NA	0.00179968701095462	NA	NA	NA	0.00367762128325509	NA	NA	0.0014866979655712	NA	0.00469483568075117	NA	0.00156494522691706	0.00219092331768388	NA	NA	NA	0.00054773082942097	0.00140845070422535	0.00273865414710485	NA	NA	NA	NA	NA	NA	NA	0.000312989045383412	NA	NA	NA	NA	0.00125195618153365	0.000625978090766823	NA	NA	NA	0.00156494522691706	0.000704225352112676	NA	0.00328638497652582	0.000860719874804382	NA	NA	NA	0.000625978090766823	0.00563380281690141	0.00117370892018779	NA	NA	0.00195618153364632	NA	NA	NA	NA	NA	NA	0.00156494522691706	NA	NA	0.00383411580594679	0.00477308294209703	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000234741784037559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000860719874804382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000782472613458529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-2	0.201433486238532	0.0677752293577982	0.0849197247706422	0.232454128440367	0.0225344036697248	0.0696100917431193	0.0479357798165138	0.0958715596330275	0.0295298165137615	0.00905963302752294	NA	NA	NA	0.0146788990825688	NA	NA	NA	NA	0.00126146788990826	0.00149082568807339	NA	0.00900229357798165	0.00309633027522936	0.00154816513761468	0.00980504587155963	NA	0.0036697247706422	0.00263761467889908	0.00154816513761468	NA	NA	0.000860091743119266	NA	0.00693807339449541	0.0018348623853211	0.000344036697247706	NA	NA	NA	0.00326834862385321	0.00372706422018349	0.0029243119266055	NA	0.0102064220183486	NA	NA	0.0105504587155963	NA	0.00452981651376147	NA	NA	0.00235091743119266	NA	NA	NA	0.00315366972477064	0.000401376146788991	NA	0.00315366972477064	NA	0.00200688073394495	NA	0.00149082568807339	0.00200688073394495	NA	NA	NA	0.000458715596330275	0.000917431192660551	0.00143348623853211	NA	NA	NA	NA	NA	NA	NA	0.000401376146788991	NA	NA	NA	NA	NA	0.000286697247706422	0.000573394495412844	NA	NA	0.00229357798165138	NA	NA	0.00481651376146789	NA	0.00143348623853211	NA	NA	0.000344036697247706	0.00344036697247706	0.00172018348623853	NA	NA	NA	NA	NA	NA	0.000688073394495413	NA	NA	0.00206422018348624	NA	NA	NA	0.00797018348623853	NA	NA	NA	NA	NA	NA	NA	NA	0.00120412844036697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000172018348623853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000172018348623853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-3	0.118482309124767	0.0375931098696462	0.0288640595903166	0.269320297951583	0.0148975791433892	0.147462756052142	0.0156540968342644	0.167364990689013	0.0334613594040968	0.00657588454376164	NA	NA	NA	0.00477188081936685	NA	NA	NA	NA	0.00238594040968343	0.00343342644320298	NA	0.00628491620111732	0.00541201117318436	0.00645949720670391	NA	NA	0.00779795158286778	0.00867085661080074	0.00267690875232775	NA	NA	0.00523743016759777	NA	0.00465549348230913	0.00116387337057728	0.00273510242085661	NA	NA	NA	NA	0.000523743016759777	0.00122206703910615	NA	0.00587756052141527	NA	NA	0.00500465549348231	NA	0.00587756052141527	NA	NA	0.00302607076350093	NA	NA	NA	0.00267690875232775	NA	NA	0.00133845437616387	NA	0.00576117318435754	NA	0.00605214152700186	NA	NA	NA	0.000407355679702048	0.000814711359404097	0.00133845437616387	0.0014548417132216	NA	NA	NA	NA	NA	NA	0.000814711359404097	0.00029096834264432	NA	NA	NA	NA	NA	0.00192039106145251	0.00232774674115456	NA	NA	0.000931098696461825	0.0014548417132216	NA	0.011114990689013	0.00139664804469274	0.00168761638733706	NA	NA	0.000872905027932961	0.0014548417132216	0.00238594040968343	NA	NA	NA	NA	NA	NA	0.0014548417132216	NA	NA	NA	NA	NA	0.00029096834264432	0.02612895716946	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000581936685288641	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000407355679702048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000407355679702048	0.00122206703910615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000116387337057728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-4	0.212039295839652	0.0401529636711281	0.102129623524758	0.166809520669875	0.042592470495154	0.104041669413859	0.00204391112283247	0.116107338300257	0.055119667699611	0.00573613766730402	NA	NA	NA	0.0145711083272895	NA	NA	NA	NA	0.000527460934924507	0.0019779785059669	NA	0.00890090327685106	0.00296696775895035	0.0027032372914881	0.00118678710358014	NA	0.00487901364805169	0.00454935056372387	0.00283510252521923	NA	NA	0.00909870112744775	NA	0.00534054196611063	0.00145051757104239	NA	NA	NA	NA	NA	0.00039559570119338	NA	NA	0.00771411617327092	NA	NA	0.0124612645875915	NA	0.00257137205775697	NA	NA	0.00652732906969078	NA	NA	NA	0.0012527197204457	NA	NA	NA	NA	0.004681215797455	NA	0.00652732906969078	NA	NA	NA	NA	NA	0.00263730467462254	0.00171424803850465	NA	NA	NA	NA	NA	NA	NA	0.000857124019252324	NA	NA	NA	NA	NA	0.00151645018790796	0.000593393551790071	NA	NA	0.00250543944089141	0.0019779785059669	NA	0.00520867673237951	0.00131865233731127	NA	NA	NA	NA	0.00138458495417683	0.00217577635656359	NA	NA	NA	NA	NA	NA	NA	0.00171424803850465	NA	0.0106810839322213	NA	NA	0.000461528318058944	0.0112744774840113	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000461528318058944	NA	NA	NA	0.00164831542163908	0.000791191402386761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00118678710358014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NW003-5	0.248850838887612	0.0350494139278327	0.0966444495518272	0.21276717995863	0.0153413008503792	0.0583199264536888	0.00390714778211905	0.0876809928752011	0.115720524017467	0.00361985750402206	NA	NA	NA	0.0171225005745806	NA	NA	NA	NA	0.000861870834290968	0.000976786945529763	NA	0.00224086416915652	0.00132153527924615	0.000517122500574581	0.0102849919558722	NA	0.00224086416915652	0.00247069639163411	0.00172374166858194	NA	NA	0.00815904389795449	NA	0.00442427028269363	0.000632038611813376	NA	NA	NA	NA	0.00120661916800735	0.000746954723052172	0.000574580556193978	NA	0.00775683750861871	NA	NA	0.00965295334405884	NA	0.00976786945529763	NA	NA	0.00310273500344748	NA	NA	NA	0.00137899333486555	NA	NA	0.000746954723052172	NA	0.00499885083888761	NA	0.00407952194897725	0.000517122500574581	NA	NA	NA	NA	0.00166628361296254	0.00143645139048495	NA	NA	NA	NA	0.000287290278096989	NA	NA	0.00143645139048495	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00120661916800735	NA	NA	0.00350494139278327	NA	NA	NA	NA	NA	0.00367731555964146	0.00183865777982073	NA	NA	NA	NA	NA	NA	NA	0.000689496667432774	NA	0.00224086416915652	NA	NA	0.00137899333486555	0.0027005286141117	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000287290278096989	NA	NA	NA	NA	0.000632038611813376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00103424500114916	NA	0.000344748333716387	0.000229832222477591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
